Kategorie: Alle Kategorien

Woche,Influenza: (Nidwalden),influenza: (Nidwalden),Grippe: (Nidwalden),Flu: (Nidwalden)
2021-08-22,0,0,0,0
2021-08-29,20,0,0,0
2021-09-05,0,30,0,34
2021-09-12,0,21,0,0
2021-09-19,22,30,37,0
2021-09-26,26,0,0,0
2021-10-03,0,0,0,0
2021-10-10,64,0,0,0
2021-10-17,0,0,0,0
2021-10-24,30,0,0,0
2021-10-31,0,0,16,24
2021-11-07,0,0,0,0
2021-11-14,37,0,26,0
2021-11-21,0,41,0,0
2021-11-28,33,19,0,36
2021-12-05,0,0,0,22
2021-12-12,0,0,0,21
2021-12-19,0,0,0,28
2021-12-26,0,0,0,0
2022-01-02,0,0,67,0
2022-01-09,0,0,0,0
2022-01-16,58,0,0,0
2022-01-23,24,0,27,0
2022-01-30,15,0,0,0
2022-02-06,0,47,32,0
2022-02-13,0,0,26,0
2022-02-20,13,0,0,0
2022-02-27,0,0,13,0
2022-03-06,0,29,20,0
2022-03-13,34,0,19,0
2022-03-20,0,14,0,0
2022-03-27,0,0,0,0
2022-04-03,0,0,49,0
2022-04-10,0,60,0,39
2022-04-17,0,0,17,26
2022-04-24,0,0,0,0
2022-05-01,0,0,19,0
2022-05-08,0,0,0,13
2022-05-15,16,0,0,0
2022-05-22,0,0,15,0
2022-05-29,0,0,0,46
2022-06-05,14,0,0,0
2022-06-12,89,0,46,18
2022-06-19,20,28,0,0
2022-06-26,0,0,0,0
2022-07-03,0,34,25,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,0,0,0,0
2022-07-31,0,19,0,0
2022-08-07,20,37,0,23
2022-08-14,34,0,0,31
2022-08-21,27,0,0,0
2022-08-28,0,0,0,0
2022-09-04,0,26,0,0
2022-09-11,32,0,0,0
2022-09-18,0,29,66,0
2022-09-25,0,0,0,0
2022-10-02,34,0,0,0
2022-10-09,0,0,0,38
2022-10-16,0,0,0,0
2022-10-23,0,0,0,0
2022-10-30,0,0,0,0
2022-11-06,19,14,30,0
2022-11-13,0,0,0,0
2022-11-20,22,0,0,0
2022-11-27,0,0,33,0
2022-12-04,0,0,0,20
2022-12-11,0,18,32,0
2022-12-18,26,0,0,0
2022-12-25,33,0,0,0
