Kategorie: Alle Kategorien

Woche,husten: (Schaffhausen),Fieber: (Schaffhausen),fièvre: (Schaffhausen),toux: (Schaffhausen)
2017-05-21,0,0,0,0
2017-05-28,0,0,0,0
2017-06-04,0,0,0,0
2017-06-11,0,0,0,0
2017-06-18,14,45,0,0
2017-06-25,0,49,0,0
2017-07-02,0,0,0,0
2017-07-09,19,0,0,0
2017-07-16,0,0,0,0
2017-07-23,14,0,0,0
2017-07-30,0,18,0,0
2017-08-06,0,0,0,0
2017-08-13,0,0,0,0
2017-08-20,100,0,0,0
2017-08-27,0,41,0,0
2017-09-03,15,0,0,0
2017-09-10,0,0,0,0
2017-09-17,0,0,0,0
2017-09-24,22,25,0,0
2017-10-01,0,25,0,0
2017-10-08,45,38,0,0
2017-10-15,0,0,0,0
2017-10-22,0,0,0,0
2017-10-29,0,12,0,0
2017-11-05,0,0,0,0
2017-11-12,0,0,0,0
2017-11-19,0,0,0,0
2017-11-26,14,0,0,0
2017-12-03,0,0,0,0
2017-12-10,0,13,0,0
2017-12-17,10,0,0,0
2017-12-24,20,0,0,0
2017-12-31,0,0,0,0
