Kategorie: Alle Kategorien

Woche,Influenza: (Sankt Gallen),influenza: (Sankt Gallen),Grippe: (Sankt Gallen),Flu: (Sankt Gallen)
2017-02-12,33,0,40,14
2017-02-19,43,0,19,0
2017-02-26,23,9,13,0
2017-03-05,26,0,17,0
2017-03-12,22,0,22,0
2017-03-19,21,0,13,0
2017-03-26,19,0,12,0
2017-04-02,16,12,0,0
2017-04-09,0,0,0,0
2017-04-16,0,0,16,0
2017-04-23,35,0,20,0
2017-04-30,0,9,12,13
2017-05-07,0,9,16,13
2017-05-14,17,10,9,9
2017-05-21,0,0,0,0
2017-05-28,13,0,0,0
2017-06-04,8,0,15,0
2017-06-11,0,0,8,0
2017-06-18,9,0,0,11
2017-06-25,9,9,0,41
2017-07-02,36,14,38,0
2017-07-09,12,10,10,0
2017-07-16,0,0,20,0
2017-07-23,0,0,14,0
2017-07-30,0,0,0,0
2017-08-06,21,0,8,0
2017-08-13,15,17,8,11
2017-08-20,27,0,0,13
2017-08-27,18,0,15,0
2017-09-03,29,0,9,0
2017-09-10,17,0,32,0
2017-09-17,9,12,30,0
2017-09-24,10,10,18,11
2017-10-01,21,0,14,0
2017-10-08,16,0,0,0
2017-10-15,30,0,16,19
2017-10-22,0,0,0,0
2017-10-29,0,0,32,19
2017-11-05,27,0,9,0
2017-11-12,32,0,35,9
2017-11-19,28,0,20,9
2017-11-26,22,0,19,0
2017-12-03,11,0,0,0
2017-12-10,11,12,0,0
2017-12-17,42,0,36,0
2017-12-24,57,0,46,0
2017-12-31,31,12,35,0
