Kategorie: Alle Kategorien

Woche,Influenza: (Basel-Stadt),influenza: (Basel-Stadt),Grippe: (Basel-Stadt),Flu: (Basel-Stadt)
2020-03-08,77,31,0,24
2020-03-15,84,12,69,12
2020-03-22,56,20,42,7
2020-03-29,45,7,15,15
2020-04-05,29,10,11,0
2020-04-12,43,0,36,14
2020-04-19,19,0,22,0
2020-04-26,14,0,0,22
2020-05-03,15,12,11,0
2020-05-10,7,0,0,0
2020-05-17,17,10,17,16
2020-05-24,14,0,0,0
2020-05-31,0,21,0,10
2020-06-07,15,11,0,0
2020-06-14,10,0,0,0
2020-06-21,20,9,0,0
2020-06-28,9,0,0,0
2020-07-05,9,0,0,0
2020-07-12,0,0,0,0
2020-07-19,14,0,0,0
2020-07-26,15,0,21,0
2020-08-02,0,0,0,0
2020-08-09,22,0,17,10
2020-08-16,0,0,21,0
2020-08-23,0,8,15,7
2020-08-30,19,0,8,23
2020-09-06,20,0,8,7
2020-09-13,27,0,0,15
2020-09-20,14,0,10,17
2020-09-27,13,25,0,0
2020-10-04,0,0,0,0
2020-10-11,14,0,13,0
2020-10-18,32,0,20,0
2020-10-25,21,0,0,21
2020-11-01,0,17,0,0
2020-11-08,34,32,8,20
2020-11-15,14,0,0,0
2020-11-22,11,0,12,0
2020-11-29,21,22,0,0
2020-12-06,25,0,14,16
2020-12-13,11,0,0,0
2020-12-20,0,0,0,0
2020-12-27,15,13,16,13
2021-01-03,14,0,0,0
2021-01-10,8,0,8,0
2021-01-17,13,0,0,10
2021-01-24,28,0,20,0
2021-01-31,16,0,0,0
2021-02-07,26,0,0,0
2021-02-14,0,0,27,21
2021-02-21,0,0,0,0
2021-02-28,19,0,0,0
2021-03-07,0,0,0,0
2021-03-14,10,0,0,0
2021-03-21,0,0,25,21
2021-03-28,9,0,0,0
2021-04-04,17,0,0,0
2021-04-11,0,0,0,0
2021-04-18,38,10,31,0
2021-04-25,0,19,0,0
2021-05-02,0,0,0,12
2021-05-09,16,0,16,0
2021-05-16,0,0,15,0
2021-05-23,0,0,0,0
2021-05-30,0,21,0,0
2021-06-06,0,0,0,0
2021-06-13,0,0,0,0
2021-06-20,0,0,0,0
2021-06-27,0,0,0,9
2021-07-04,0,0,0,0
2021-07-11,0,0,14,0
2021-07-18,0,0,0,0
2021-07-25,12,0,0,0
2021-08-01,11,0,0,0
2021-08-08,0,0,30,18
2021-08-15,0,0,0,0
2021-08-22,0,0,0,0
2021-08-29,0,0,0,0
2021-09-05,0,18,15,0
2021-09-12,20,0,11,0
2021-09-19,0,0,9,9
2021-09-26,0,0,11,25
2021-10-03,0,0,40,0
2021-10-10,10,0,13,0
2021-10-17,11,0,7,10
2021-10-24,14,19,0,0
2021-10-31,0,0,0,0
2021-11-07,14,10,0,0
2021-11-14,25,0,9,0
2021-11-21,19,0,0,0
2021-11-28,15,0,0,0
2021-12-05,9,0,0,0
2021-12-12,0,0,0,0
2021-12-19,0,0,0,0
2021-12-26,28,0,23,0
2022-01-02,9,0,18,13
2022-01-09,0,0,0,0
2022-01-16,0,0,0,0
2022-01-23,0,0,0,0
2022-01-30,7,0,0,0
2022-02-06,0,0,0,0
2022-02-13,12,0,19,7
2022-02-20,0,12,10,13
2022-02-27,0,0,24,7
2022-03-06,18,12,24,0
2022-03-13,12,6,12,0
2022-03-20,8,0,12,0
2022-03-27,9,11,7,0
2022-04-03,7,0,9,21
2022-04-10,0,0,14,0
2022-04-17,5,0,0,0
2022-04-24,0,0,0,0
2022-05-01,9,0,0,0
2022-05-08,0,0,0,0
2022-05-15,0,0,0,0
2022-05-22,0,0,0,0
2022-05-29,0,6,0,0
2022-06-05,13,0,0,8
2022-06-12,24,0,11,0
2022-06-19,9,0,9,0
2022-06-26,15,0,0,0
2022-07-03,0,17,0,0
2022-07-10,17,0,0,21
2022-07-17,0,0,0,0
2022-07-24,0,0,12,0
2022-07-31,0,20,0,8
2022-08-07,13,0,0,7
2022-08-14,0,0,0,0
2022-08-21,0,0,0,0
2022-08-28,14,0,14,6
2022-09-04,0,0,0,0
2022-09-11,6,0,7,0
2022-09-18,9,0,0,8
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,14,0,7,9
2022-10-16,0,0,18,0
2022-10-23,12,0,8,11
2022-10-30,10,16,0,0
2022-11-06,6,0,6,0
2022-11-13,0,0,10,0
2022-11-20,15,8,0,14
2022-11-27,13,0,0,8
2022-12-04,14,0,15,0
2022-12-11,12,9,19,11
2022-12-18,37,8,18,6
2022-12-25,49,0,23,0
