Kategorie: Alle Kategorien

Woche,husten: (Waadt),Fieber: (Waadt),fièvre: (Waadt),toux: (Waadt)
2014-06-15,0,0,0,0
2014-06-22,0,0,0,16
2014-06-29,0,12,0,31
2014-07-06,0,0,23,13
2014-07-13,0,0,0,0
2014-07-20,0,13,13,19
2014-07-27,0,20,20,38
2014-08-03,52,0,29,0
2014-08-10,13,0,28,15
2014-08-17,0,37,38,21
2014-08-24,0,0,56,16
2014-08-31,34,51,0,20
2014-09-07,0,0,0,27
2014-09-14,0,18,0,21
2014-09-21,0,0,0,34
2014-09-28,15,30,13,14
2014-10-05,43,28,23,16
2014-10-12,0,0,13,16
2014-10-19,35,0,41,0
2014-10-26,0,0,15,0
2014-11-02,0,18,17,16
2014-11-09,0,0,14,14
2014-11-16,0,14,21,0
2014-11-23,32,20,15,43
2014-11-30,28,47,0,19
2014-12-07,0,0,16,40
2014-12-14,0,32,0,23
2014-12-21,0,0,0,22
2014-12-28,28,23,0,50
2015-01-04,23,0,0,45
2015-01-11,11,0,34,16
2015-01-18,0,23,16,22
2015-01-25,21,21,0,30
2015-02-01,13,38,0,35
2015-02-08,21,20,16,0
2015-02-15,0,0,21,41
2015-02-22,0,14,14,37
2015-03-01,0,54,40,26
2015-03-08,0,29,0,51
2015-03-15,10,10,56,0
2015-03-22,0,0,0,59
2015-03-29,11,0,0,0
2015-04-05,0,0,0,26
2015-04-12,37,0,26,31
2015-04-19,0,13,15,11
2015-04-26,0,0,18,29
2015-05-03,0,0,0,20
2015-05-10,0,0,18,65
2015-05-17,35,25,0,0
2015-05-24,0,0,34,0
2015-05-31,0,0,12,0
2015-06-07,0,44,0,0
2015-06-14,0,0,39,0
2015-06-21,0,0,38,0
2015-06-28,0,0,31,15
2015-07-05,19,27,0,0
2015-07-12,0,0,17,23
2015-07-19,20,0,19,48
2015-07-26,0,0,0,0
2015-08-02,0,0,44,0
2015-08-09,0,22,0,0
2015-08-16,27,35,0,0
2015-08-23,25,0,49,0
2015-08-30,0,0,36,0
2015-09-06,0,13,17,0
2015-09-13,19,0,0,37
2015-09-20,0,0,12,13
2015-09-27,0,0,0,16
2015-10-04,0,0,0,0
2015-10-11,0,0,29,13
2015-10-18,0,0,39,43
2015-10-25,0,0,23,18
2015-11-01,23,0,22,0
2015-11-08,0,0,0,0
2015-11-15,0,0,0,30
2015-11-22,10,0,0,45
2015-11-29,0,0,0,11
2015-12-06,0,0,0,0
2015-12-13,0,0,0,20
2015-12-20,0,49,0,51
2015-12-27,27,0,0,56
2016-01-03,0,0,17,38
2016-01-10,21,13,0,0
2016-01-17,0,0,0,31
2016-01-24,0,8,0,63
2016-01-31,0,15,21,54
2016-02-07,0,15,38,27
2016-02-14,0,16,14,50
2016-02-21,0,0,0,53
2016-02-28,10,24,0,34
2016-03-06,0,10,13,63
2016-03-13,0,12,18,73
2016-03-20,0,8,0,22
2016-03-27,0,9,26,51
2016-04-03,0,8,0,35
2016-04-10,0,25,0,30
2016-04-17,0,19,14,30
2016-04-24,0,0,12,31
2016-05-01,0,0,9,25
2016-05-08,0,14,9,34
2016-05-15,9,13,24,30
2016-05-22,0,0,15,14
2016-05-29,10,0,0,0
2016-06-05,10,31,19,8
2016-06-12,0,7,0,35
2016-06-19,0,38,0,21
2016-06-26,0,0,9,18
2016-07-03,0,0,11,26
2016-07-10,0,9,22,0
2016-07-17,0,0,0,26
2016-07-24,0,13,0,32
2016-07-31,10,0,0,49
2016-08-07,0,0,0,0
2016-08-14,17,13,22,11
2016-08-21,0,12,0,12
2016-08-28,27,0,12,29
2016-09-04,8,0,21,9
2016-09-11,0,16,9,41
2016-09-18,0,0,14,25
2016-09-25,11,0,15,29
2016-10-02,0,0,0,40
2016-10-09,9,8,0,40
2016-10-16,0,0,14,36
2016-10-23,0,0,0,51
2016-10-30,0,0,13,49
2016-11-06,0,0,0,58
2016-11-13,0,0,15,29
2016-11-20,0,9,0,33
2016-11-27,15,8,35,57
2016-12-04,26,0,19,45
2016-12-11,0,19,0,59
2016-12-18,0,0,22,89
2016-12-25,28,12,30,64
2017-01-01,15,0,0,57
2017-01-08,0,11,35,61
2017-01-15,47,0,21,50
2017-01-22,0,0,13,82
2017-01-29,10,0,28,43
2017-02-05,15,10,25,57
2017-02-12,0,11,7,46
2017-02-19,0,0,17,48
2017-02-26,14,0,14,29
2017-03-05,8,9,17,26
2017-03-12,0,0,15,33
2017-03-19,0,0,16,28
2017-03-26,0,0,24,54
2017-04-02,8,0,8,13
2017-04-09,9,0,26,18
2017-04-16,0,9,23,14
2017-04-23,0,0,17,49
2017-04-30,0,8,14,27
2017-05-07,0,17,15,19
2017-05-14,22,0,25,20
2017-05-21,0,0,0,33
2017-05-28,0,0,12,22
2017-06-04,0,0,24,25
2017-06-11,0,0,0,7
2017-06-18,0,0,19,26
2017-06-25,0,12,0,11
2017-07-02,0,0,0,0
2017-07-09,20,37,18,8
2017-07-16,0,0,0,16
2017-07-23,0,9,23,0
2017-07-30,0,0,0,23
2017-08-06,0,19,20,0
2017-08-13,26,0,9,28
2017-08-20,14,0,10,16
2017-08-27,0,0,15,15
2017-09-03,0,0,13,43
2017-09-10,0,0,15,34
2017-09-17,8,0,0,28
2017-09-24,11,10,14,34
2017-10-01,0,0,0,52
2017-10-08,0,17,16,22
2017-10-15,11,7,0,20
2017-10-22,19,0,10,24
2017-10-29,0,0,0,34
2017-11-05,14,0,12,31
2017-11-12,9,10,12,31
2017-11-19,17,0,7,34
2017-11-26,18,8,9,42
2017-12-03,0,23,10,28
2017-12-10,17,12,13,36
2017-12-17,19,13,28,48
2017-12-24,29,38,31,70
2017-12-31,26,24,16,71
