Kategorie: Alle Kategorien

Woche,husten: (Freiburg),Fieber: (Freiburg),fièvre: (Freiburg),toux: (Freiburg)
2015-06-28,24,0,0,0
2015-07-05,0,0,0,0
2015-07-12,100,62,0,0
2015-07-19,0,0,0,0
2015-07-26,0,32,0,0
2015-08-02,0,0,36,0
2015-08-09,0,0,0,0
2015-08-16,0,0,0,0
2015-08-23,33,0,0,0
2015-08-30,0,15,0,0
2015-09-06,0,0,0,0
2015-09-13,31,0,0,0
2015-09-20,35,21,60,0
2015-09-27,0,0,0,0
2015-10-04,16,0,0,0
2015-10-11,0,24,17,28
2015-10-18,0,0,28,0
2015-10-25,0,0,0,0
2015-11-01,0,23,0,0
2015-11-08,0,60,0,46
2015-11-15,27,0,83,0
2015-11-22,0,0,0,17
2015-11-29,0,0,0,33
2015-12-06,50,0,0,0
2015-12-13,0,15,0,0
2015-12-20,0,0,0,18
2015-12-27,0,35,45,0
2016-01-03,19,0,0,0
2016-01-10,11,0,0,0
2016-01-17,0,0,16,0
2016-01-24,0,12,0,31
2016-01-31,0,11,0,19
2016-02-07,0,0,0,16
2016-02-14,0,17,15,0
2016-02-21,0,14,11,0
2016-02-28,0,0,0,16
2016-03-06,0,14,0,24
2016-03-13,0,0,0,0
2016-03-20,0,0,0,0
2016-03-27,0,34,0,36
2016-04-03,0,0,16,0
2016-04-10,0,0,0,14
2016-04-17,0,25,29,10
2016-04-24,0,0,0,37
2016-05-01,20,0,0,0
2016-05-08,0,0,0,0
2016-05-15,0,0,0,0
2016-05-22,22,13,0,0
2016-05-29,0,0,0,0
2016-06-05,0,0,0,0
2016-06-12,0,0,0,20
2016-06-19,0,15,0,11
2016-06-26,0,0,0,0
2016-07-03,0,15,0,32
2016-07-10,0,15,13,28
2016-07-17,0,0,0,0
2016-07-24,0,15,0,0
2016-07-31,0,21,0,20
2016-08-07,0,64,26,33
2016-08-14,0,30,0,14
2016-08-21,0,24,0,0
2016-08-28,0,0,19,0
2016-09-04,0,0,14,0
2016-09-11,10,0,0,17
2016-09-18,16,0,16,33
2016-09-25,0,0,0,13
2016-10-02,0,0,0,0
2016-10-09,0,0,0,0
2016-10-16,0,24,33,44
2016-10-23,0,0,19,12
2016-10-30,0,15,0,0
2016-11-06,0,0,0,20
2016-11-13,0,0,0,49
2016-11-20,13,0,0,17
2016-11-27,0,0,13,13
2016-12-04,0,17,0,0
2016-12-11,44,13,0,38
2016-12-18,0,0,0,15
2016-12-25,0,0,14,57
2017-01-01,0,0,0,36
2017-01-08,0,0,0,0
2017-01-15,0,17,0,14
2017-01-22,0,18,0,13
2017-01-29,0,26,10,43
2017-02-05,13,0,16,0
2017-02-12,16,10,0,28
2017-02-19,0,25,11,14
2017-02-26,0,13,0,16
2017-03-05,13,0,19,21
2017-03-12,13,0,10,17
2017-03-19,0,0,20,0
2017-03-26,0,0,0,0
2017-04-02,0,0,0,50
2017-04-09,0,0,0,48
2017-04-16,0,0,10,0
2017-04-23,0,0,0,0
2017-04-30,0,0,0,0
2017-05-07,21,0,0,0
2017-05-14,0,0,0,0
2017-05-21,0,0,0,0
2017-05-28,0,0,0,0
2017-06-04,15,9,0,0
2017-06-11,12,0,11,0
2017-06-18,0,0,0,0
2017-06-25,16,0,11,0
2017-07-02,0,0,0,16
2017-07-09,0,10,19,0
2017-07-16,11,0,0,0
2017-07-23,0,0,0,0
2017-07-30,0,17,29,0
2017-08-06,0,26,0,17
2017-08-13,0,0,20,0
2017-08-20,0,10,0,0
2017-08-27,0,0,0,11
2017-09-03,0,15,0,16
2017-09-10,0,0,0,0
2017-09-17,47,0,0,30
2017-09-24,0,0,12,0
2017-10-01,28,0,11,20
2017-10-08,17,0,25,0
2017-10-15,24,16,0,0
2017-10-22,0,0,0,13
2017-10-29,0,9,0,20
2017-11-05,0,0,0,18
2017-11-12,19,0,0,7
2017-11-19,8,0,16,7
2017-11-26,0,0,8,12
2017-12-03,0,9,0,19
2017-12-10,0,0,0,16
2017-12-17,0,10,17,7
2017-12-24,12,0,0,27
2017-12-31,0,0,0,22
