Kategorie: Alle Kategorien

Woche,Influenza: (Waadt),influenza: (Waadt),Grippe: (Waadt),Flu: (Waadt)
2015-04-19,16,19,4,0
2015-04-26,11,7,11,0
2015-05-03,12,0,0,0
2015-05-10,0,0,0,0
2015-05-17,6,0,0,0
2015-05-24,0,6,5,0
2015-05-31,0,6,0,0
2015-06-07,0,0,0,13
2015-06-14,18,0,13,26
2015-06-21,0,0,0,0
2015-06-28,8,17,9,0
2015-07-05,0,0,21,0
2015-07-12,0,0,0,0
2015-07-19,0,0,0,0
2015-07-26,10,9,13,0
2015-08-02,0,9,6,21
2015-08-09,13,0,0,7
2015-08-16,0,10,0,0
2015-08-23,0,0,0,0
2015-08-30,16,0,16,0
2015-09-06,15,0,15,0
2015-09-13,12,0,0,0
2015-09-20,0,0,0,0
2015-09-27,17,10,13,0
2015-10-04,0,0,0,13
2015-10-11,26,0,15,6
2015-10-18,9,0,24,0
2015-10-25,17,0,16,0
2015-11-01,35,5,35,5
2015-11-08,9,9,5,0
2015-11-15,19,0,21,22
2015-11-22,32,0,12,0
2015-11-29,8,4,36,0
2015-12-06,35,0,22,0
2015-12-13,18,0,9,0
2015-12-20,0,18,0,13
2015-12-27,23,0,15,6
2016-01-03,18,3,8,4
2016-01-10,31,9,29,7
2016-01-17,36,0,32,7
2016-01-24,34,0,23,0
2016-01-31,38,0,42,15
2016-02-07,36,12,27,14
2016-02-14,52,0,31,6
2016-02-21,40,3,29,4
2016-02-28,36,0,28,0
2016-03-06,36,0,32,4
2016-03-13,30,0,30,0
2016-03-20,40,4,26,6
2016-03-27,30,0,18,5
2016-04-03,19,0,9,0
2016-04-10,13,3,14,0
2016-04-17,10,0,0,5
2016-04-24,5,0,13,0
2016-05-01,27,4,3,5
2016-05-08,8,0,5,0
2016-05-15,4,0,0,5
2016-05-22,5,0,11,4
2016-05-29,0,0,8,0
2016-06-05,19,0,6,4
2016-06-12,25,0,0,0
2016-06-19,0,0,8,7
2016-06-26,4,0,4,0
2016-07-03,0,0,0,0
2016-07-10,6,0,0,0
2016-07-17,0,0,0,0
2016-07-24,13,8,0,0
2016-07-31,0,0,0,0
2016-08-07,11,0,8,0
2016-08-14,5,0,0,0
2016-08-21,4,5,0,0
2016-08-28,21,6,10,0
2016-09-04,8,0,14,0
2016-09-11,8,0,5,4
2016-09-18,12,6,13,0
2016-09-25,9,4,6,0
2016-10-02,17,0,8,4
2016-10-09,19,0,15,0
2016-10-16,40,7,19,0
2016-10-23,20,0,12,18
2016-10-30,13,0,10,0
2016-11-06,25,0,28,0
2016-11-13,56,9,46,0
2016-11-20,38,0,14,0
2016-11-27,26,0,15,0
2016-12-04,25,0,16,0
2016-12-11,37,0,35,0
2016-12-18,42,5,39,0
2016-12-25,100,0,95,10
2017-01-01,68,0,53,7
2017-01-08,67,3,57,0
2017-01-15,60,0,50,0
2017-01-22,33,0,25,0
2017-01-29,41,0,35,0
2017-02-05,37,0,31,0
2017-02-12,25,3,20,0
2017-02-19,25,0,18,0
2017-02-26,27,3,10,0
2017-03-05,19,0,17,4
2017-03-12,4,0,9,5
2017-03-19,18,0,15,6
2017-03-26,12,0,6,0
2017-04-02,5,0,5,0
2017-04-09,5,0,0,0
2017-04-16,14,0,14,0
2017-04-23,14,4,8,0
2017-04-30,13,0,5,0
2017-05-07,5,0,4,0
2017-05-14,4,0,9,0
2017-05-21,0,0,10,14
2017-05-28,8,0,0,5
2017-06-04,4,3,18,0
2017-06-11,0,7,0,0
2017-06-18,6,0,6,7
2017-06-25,5,0,0,0
2017-07-02,5,0,0,0
2017-07-09,19,0,0,5
2017-07-16,0,0,0,0
2017-07-23,11,0,8,0
2017-07-30,17,0,0,0
2017-08-06,0,6,0,0
2017-08-13,7,13,5,0
2017-08-20,12,0,0,0
2017-08-27,0,7,4,0
2017-09-03,14,0,11,0
2017-09-10,17,0,11,0
2017-09-17,43,0,14,4
2017-09-24,23,4,16,0
2017-10-01,30,0,25,0
2017-10-08,36,0,18,0
2017-10-15,24,0,19,11
2017-10-22,23,3,14,0
2017-10-29,17,0,16,3
2017-11-05,30,0,28,3
2017-11-12,21,0,21,0
2017-11-19,26,0,22,0
2017-11-26,29,5,23,0
2017-12-03,30,10,21,4
2017-12-10,28,0,17,4
2017-12-17,38,0,29,9
2017-12-24,81,0,69,0
2017-12-31,98,9,58,6
