Kategorie: Alle Kategorien

Woche,Influenza: (Nidwalden),influenza: (Nidwalden),Grippe: (Nidwalden),Flu: (Nidwalden)
2014-11-02,0,0,0,0
2014-11-09,0,45,0,0
2014-11-16,0,41,0,0
2014-11-23,15,0,0,24
2014-11-30,53,0,0,0
2014-12-07,0,0,0,39
2014-12-14,0,0,0,0
2014-12-21,0,0,0,0
2014-12-28,0,0,0,0
2015-01-04,0,0,16,0
2015-01-11,46,0,0,15
2015-01-18,22,0,42,0
2015-01-25,0,0,0,0
2015-02-01,0,0,24,0
2015-02-08,0,0,0,0
2015-02-15,31,0,22,0
2015-02-22,0,0,0,16
2015-03-01,0,0,0,0
2015-03-08,0,29,0,0
2015-03-15,29,0,0,0
2015-03-22,0,0,0,0
2015-03-29,0,0,0,0
2015-04-05,0,30,18,0
2015-04-12,0,0,0,0
2015-04-19,0,0,0,0
2015-04-26,0,0,0,0
2015-05-03,0,0,21,0
2015-05-10,0,35,0,0
2015-05-17,19,26,0,0
2015-05-24,27,0,0,0
2015-05-31,0,0,33,0
2015-06-07,23,75,0,0
2015-06-14,0,0,0,0
2015-06-21,78,0,0,0
2015-06-28,73,0,0,0
2015-07-05,0,0,48,0
2015-07-12,0,0,0,0
2015-07-19,0,21,27,0
2015-07-26,26,0,32,0
2015-08-02,23,25,0,0
2015-08-09,38,0,0,0
2015-08-16,0,0,0,0
2015-08-23,0,0,0,0
2015-08-30,0,0,0,0
2015-09-06,33,67,0,0
2015-09-13,0,0,0,0
2015-09-20,0,0,0,0
2015-09-27,0,0,0,19
2015-10-04,0,0,0,0
2015-10-11,0,0,0,0
2015-10-18,0,0,0,18
2015-10-25,21,23,0,0
2015-11-01,0,0,0,0
2015-11-08,0,0,0,0
2015-11-15,0,0,13,0
2015-11-22,0,0,0,0
2015-11-29,0,0,0,0
2015-12-06,0,0,29,0
2015-12-13,32,0,0,0
2015-12-20,0,50,0,0
2015-12-27,0,0,0,0
2016-01-03,0,0,0,0
2016-01-10,0,29,20,28
2016-01-17,13,19,24,0
2016-01-24,14,0,15,21
2016-01-31,0,0,0,0
2016-02-07,0,0,27,0
2016-02-14,0,29,0,0
2016-02-21,0,0,0,12
2016-02-28,0,0,0,0
2016-03-06,17,0,0,0
2016-03-13,12,0,0,0
2016-03-20,0,0,0,19
2016-03-27,0,0,0,0
2016-04-03,0,0,0,0
2016-04-10,0,0,0,0
2016-04-17,0,0,0,13
2016-04-24,0,0,0,22
2016-05-01,0,0,0,0
2016-05-08,0,0,0,0
2016-05-15,0,23,0,0
2016-05-22,0,17,0,0
2016-05-29,0,0,0,0
2016-06-05,0,0,0,27
2016-06-12,0,12,0,0
2016-06-19,0,0,0,0
2016-06-26,0,0,0,14
2016-07-03,0,17,0,0
2016-07-10,0,0,0,0
2016-07-17,16,0,0,0
2016-07-24,0,0,0,42
2016-07-31,21,0,0,0
2016-08-07,0,0,0,0
2016-08-14,18,38,0,0
2016-08-21,0,0,0,15
2016-08-28,0,0,0,0
2016-09-04,0,0,0,0
2016-09-11,0,0,0,0
2016-09-18,0,32,0,0
2016-09-25,28,0,0,0
2016-10-02,0,0,0,22
2016-10-09,0,0,0,0
2016-10-16,0,0,0,0
2016-10-23,0,0,29,0
2016-10-30,33,0,0,0
2016-11-06,0,0,0,18
2016-11-13,0,0,0,0
2016-11-20,21,0,0,0
2016-11-27,30,0,0,20
2016-12-04,0,0,0,0
2016-12-11,0,0,0,0
2016-12-18,0,0,0,0
2016-12-25,0,0,0,36
2017-01-01,16,0,0,15
2017-01-08,0,0,40,0
2017-01-15,12,0,0,0
2017-01-22,0,0,26,15
2017-01-29,0,0,12,0
2017-02-05,0,0,0,0
2017-02-12,0,0,0,0
2017-02-19,0,0,0,0
2017-02-26,0,0,0,0
2017-03-05,0,0,0,0
2017-03-12,11,0,0,17
2017-03-19,42,0,0,0
2017-03-26,19,0,0,0
2017-04-02,0,0,0,0
2017-04-09,0,0,0,0
2017-04-16,0,0,0,0
2017-04-23,0,0,0,17
2017-04-30,0,0,0,0
2017-05-07,34,0,0,0
2017-05-14,0,0,0,0
2017-05-21,46,0,0,0
2017-05-28,0,0,0,0
2017-06-04,0,14,0,17
2017-06-11,0,0,0,0
2017-06-18,0,0,19,14
2017-06-25,0,0,0,0
2017-07-02,0,16,0,0
2017-07-09,0,0,0,0
2017-07-16,13,0,0,0
2017-07-23,0,0,0,0
2017-07-30,17,15,20,0
2017-08-06,0,0,0,0
2017-08-13,21,16,0,0
2017-08-20,0,0,0,0
2017-08-27,0,0,0,28
2017-09-03,0,0,0,25
2017-09-10,0,0,0,0
2017-09-17,0,11,0,10
2017-09-24,12,0,0,0
2017-10-01,0,0,0,10
2017-10-08,0,11,28,0
2017-10-15,10,0,0,0
2017-10-22,0,0,0,0
2017-10-29,0,0,0,0
2017-11-05,8,0,16,0
2017-11-12,0,9,0,0
2017-11-19,0,0,10,0
2017-11-26,0,12,0,0
2017-12-03,0,0,0,0
2017-12-10,0,0,0,12
2017-12-17,14,0,0,0
2017-12-24,8,0,10,10
2017-12-31,0,10,16,0
