Kategorie: Alle Kategorien

Woche,husten: (Obwalden),Fieber: (Obwalden),fièvre: (Obwalden),toux: (Obwalden)
2014-11-09,0,0,0,0
2014-11-16,0,0,0,0
2014-11-23,0,0,0,0
2014-11-30,70,0,0,0
2014-12-07,0,21,0,0
2014-12-14,0,0,0,0
2014-12-21,38,41,0,0
2014-12-28,0,0,0,0
2015-01-04,0,27,0,0
2015-01-11,0,0,0,0
2015-01-18,0,0,0,0
2015-01-25,0,0,0,0
2015-02-01,0,49,0,0
2015-02-08,0,0,0,0
2015-02-15,0,0,0,0
2015-02-22,0,0,0,0
2015-03-01,0,0,0,0
2015-03-08,21,70,0,0
2015-03-15,0,0,0,0
2015-03-22,0,74,0,0
2015-03-29,0,26,0,0
2015-04-05,0,0,0,0
2015-04-12,0,0,0,0
2015-04-19,0,9,0,0
2015-04-26,0,0,0,0
2015-05-03,0,0,0,0
2015-05-10,0,0,0,0
2015-05-17,0,0,0,0
2015-05-24,0,0,0,0
2015-05-31,0,0,0,0
2015-06-07,0,0,0,0
2015-06-14,0,0,0,0
2015-06-21,0,0,0,0
2015-06-28,0,0,0,0
2015-07-05,70,36,0,0
2015-07-12,0,0,0,0
2015-07-19,0,0,0,0
2015-07-26,0,0,0,0
2015-08-02,0,0,0,0
2015-08-09,0,27,0,0
2015-08-16,0,33,0,0
2015-08-23,99,0,0,0
2015-08-30,0,24,0,0
2015-09-06,0,0,0,0
2015-09-13,55,0,0,0
2015-09-20,0,0,0,0
2015-09-27,0,0,0,0
2015-10-04,33,0,0,0
2015-10-11,0,0,0,0
2015-10-18,0,0,0,0
2015-10-25,0,0,0,0
2015-11-01,0,0,0,0
2015-11-08,0,51,0,0
2015-11-15,0,0,0,0
2015-11-22,27,0,0,0
2015-11-29,0,0,0,0
2015-12-06,29,0,0,0
2015-12-13,0,35,0,0
2015-12-20,0,0,0,0
2015-12-27,0,0,0,0
2016-01-03,24,16,0,0
2016-01-10,0,0,0,0
2016-01-17,0,0,0,0
2016-01-24,16,0,0,0
2016-01-31,0,0,0,0
2016-02-07,0,0,0,0
2016-02-14,11,0,0,0
2016-02-21,0,12,0,0
2016-02-28,0,0,0,0
2016-03-06,0,0,0,0
2016-03-13,0,16,0,0
2016-03-20,0,0,0,0
2016-03-27,0,0,0,0
2016-04-03,18,0,0,0
2016-04-10,34,11,0,0
2016-04-17,0,0,0,0
2016-04-24,0,0,0,0
2016-05-01,0,0,0,0
2016-05-08,0,0,0,0
2016-05-15,0,0,0,0
2016-05-22,0,0,0,0
2016-05-29,0,0,0,0
2016-06-05,0,0,0,0
2016-06-12,24,0,0,0
2016-06-19,0,0,0,0
2016-06-26,0,0,0,0
2016-07-03,0,0,0,0
2016-07-10,0,0,0,0
2016-07-17,0,0,0,0
2016-07-24,0,0,0,0
2016-07-31,0,0,0,0
2016-08-07,0,0,0,0
2016-08-14,0,0,0,0
2016-08-21,0,0,0,0
2016-08-28,0,0,0,0
2016-09-04,0,0,0,0
2016-09-11,26,0,0,0
2016-09-18,14,0,0,0
2016-09-25,0,0,0,0
2016-10-02,0,0,0,0
2016-10-09,24,0,0,0
2016-10-16,0,0,0,0
2016-10-23,0,0,0,0
2016-10-30,21,0,0,0
2016-11-06,0,11,0,0
2016-11-13,0,0,0,0
2016-11-20,0,0,0,0
2016-11-27,0,0,0,0
2016-12-04,0,21,0,0
2016-12-11,0,0,0,0
2016-12-18,21,0,0,0
2016-12-25,0,0,0,0
2017-01-01,0,0,0,0
2017-01-08,0,0,0,0
2017-01-15,0,0,0,0
2017-01-22,0,0,0,0
2017-01-29,12,0,0,0
2017-02-05,0,19,0,0
2017-02-12,0,0,0,0
2017-02-19,38,13,0,0
2017-02-26,12,0,0,0
2017-03-05,0,0,0,0
2017-03-12,0,0,0,0
2017-03-19,0,0,0,0
2017-03-26,0,0,0,0
2017-04-02,0,0,0,0
2017-04-09,0,0,0,0
2017-04-16,15,0,0,0
2017-04-23,0,0,0,0
2017-04-30,34,0,0,0
2017-05-07,0,0,0,0
2017-05-14,0,17,0,0
2017-05-21,0,0,0,0
2017-05-28,0,0,0,0
2017-06-04,0,0,0,0
2017-06-11,13,0,0,0
2017-06-18,0,0,0,0
2017-06-25,0,0,0,0
2017-07-02,16,0,0,0
2017-07-09,0,20,0,0
2017-07-16,0,0,0,0
2017-07-23,0,0,0,0
2017-07-30,47,34,0,0
2017-08-06,0,9,0,0
2017-08-13,0,0,0,0
2017-08-20,0,0,0,0
2017-08-27,0,12,0,0
2017-09-03,12,0,0,0
2017-09-10,0,0,0,0
2017-09-17,0,0,0,0
2017-09-24,0,0,0,0
2017-10-01,0,0,0,0
2017-10-08,0,0,0,0
2017-10-15,12,0,0,0
2017-10-22,0,0,0,0
2017-10-29,0,0,0,0
2017-11-05,0,0,0,0
2017-11-12,0,0,0,0
2017-11-19,0,19,0,0
2017-11-26,0,0,0,0
2017-12-03,0,0,0,0
2017-12-10,8,0,0,0
2017-12-17,0,0,0,0
2017-12-24,6,0,0,0
2017-12-31,0,0,0,0
