Kategorie: Alle Kategorien

Woche,Influenza: (Neuenburg),influenza: (Neuenburg),Grippe: (Neuenburg),Flu: (Neuenburg)
2015-12-13,16,34,0,30
2015-12-20,35,0,0,0
2015-12-27,0,0,0,0
2016-01-03,19,0,11,0
2016-01-10,15,0,11,0
2016-01-17,21,0,12,10
2016-01-24,43,0,36,0
2016-01-31,12,21,25,0
2016-02-07,24,0,38,0
2016-02-14,9,0,10,0
2016-02-21,45,0,21,0
2016-02-28,27,0,27,0
2016-03-06,24,19,10,0
2016-03-13,36,10,0,25
2016-03-20,0,15,21,0
2016-03-27,15,0,0,0
2016-04-03,0,0,0,14
2016-04-10,66,0,0,0
2016-04-17,14,19,0,0
2016-04-24,46,0,0,0
2016-05-01,0,0,0,23
2016-05-08,0,0,0,0
2016-05-15,39,0,0,0
2016-05-22,15,0,25,0
2016-05-29,22,0,0,0
2016-06-05,0,0,0,0
2016-06-12,0,0,0,0
2016-06-19,0,0,47,0
2016-06-26,0,20,0,0
2016-07-03,0,0,0,0
2016-07-10,0,0,0,0
2016-07-17,0,0,0,0
2016-07-24,0,0,0,0
2016-07-31,0,0,27,0
2016-08-07,18,0,33,0
2016-08-14,15,0,0,0
2016-08-21,0,0,0,30
2016-08-28,0,0,0,0
2016-09-04,14,27,0,0
2016-09-11,14,0,0,19
2016-09-18,16,0,0,0
2016-09-25,0,0,0,0
2016-10-02,48,0,0,0
2016-10-09,0,0,0,0
2016-10-16,0,0,18,0
2016-10-23,0,16,0,0
2016-10-30,0,0,12,0
2016-11-06,23,0,0,0
2016-11-13,0,0,25,23
2016-11-20,57,0,40,0
2016-11-27,0,0,0,0
2016-12-04,19,0,44,0
2016-12-11,0,0,0,0
2016-12-18,25,0,39,0
2016-12-25,0,0,0,19
2017-01-01,62,0,35,0
2017-01-08,43,15,29,27
2017-01-15,28,18,39,0
2017-01-22,0,0,12,29
2017-01-29,0,0,0,0
2017-02-05,0,0,26,0
2017-02-12,0,21,22,0
2017-02-19,28,0,42,0
2017-02-26,0,33,13,0
2017-03-05,52,0,0,0
2017-03-12,0,0,0,0
2017-03-19,0,0,0,0
2017-03-26,12,0,0,32
2017-04-02,0,0,0,0
2017-04-09,0,0,18,0
2017-04-16,13,12,16,0
2017-04-23,0,15,13,35
2017-04-30,0,0,0,0
2017-05-07,17,0,12,0
2017-05-14,0,35,0,0
2017-05-21,17,35,30,21
2017-05-28,0,15,0,0
2017-06-04,13,0,0,21
2017-06-11,0,14,0,0
2017-06-18,0,0,0,0
2017-06-25,0,0,0,0
2017-07-02,23,0,19,41
2017-07-09,0,0,0,0
2017-07-16,100,0,0,0
2017-07-23,0,0,0,0
2017-07-30,0,0,0,22
2017-08-06,0,0,0,58
2017-08-13,0,0,16,17
2017-08-20,0,0,0,0
2017-08-27,21,28,0,0
2017-09-03,0,0,0,12
2017-09-10,0,0,0,0
2017-09-17,0,12,0,0
2017-09-24,16,0,0,0
2017-10-01,15,0,0,0
2017-10-08,0,0,16,0
2017-10-15,77,0,20,22
2017-10-22,0,22,0,0
2017-10-29,0,0,0,0
2017-11-05,12,0,0,0
2017-11-12,11,10,31,0
2017-11-19,10,13,64,0
2017-11-26,0,0,0,0
2017-12-03,12,0,24,0
2017-12-10,0,0,17,0
2017-12-17,70,0,30,0
2017-12-24,41,0,31,0
2017-12-31,45,0,53,0
