Kategorie: Alle Kategorien

Woche,husten: (Aargau),Fieber: (Aargau),fièvre: (Aargau),toux: (Aargau)
2020-05-24,6,22,0,0
2020-05-31,7,25,0,0
2020-06-07,6,19,0,0
2020-06-14,4,19,0,5
2020-06-21,14,34,0,0
2020-06-28,13,29,0,10
2020-07-05,12,31,0,0
2020-07-12,12,27,0,0
2020-07-19,10,19,0,0
2020-07-26,17,19,0,0
2020-08-02,0,27,0,16
2020-08-09,0,14,0,0
2020-08-16,23,31,0,0
2020-08-23,22,29,0,0
2020-08-30,10,28,0,0
2020-09-06,19,25,0,0
2020-09-13,20,43,0,8
2020-09-20,20,33,0,0
2020-09-27,5,12,0,0
2020-10-04,17,39,0,0
2020-10-11,0,29,0,0
2020-10-18,20,37,0,0
2020-10-25,14,30,0,0
2020-11-01,27,33,0,0
2020-11-08,18,56,0,0
2020-11-15,20,33,0,0
2020-11-22,6,41,0,0
2020-11-29,17,35,0,0
2020-12-06,20,44,0,0
2020-12-13,16,34,0,0
2020-12-20,19,28,0,0
2020-12-27,16,26,0,8
2021-01-03,8,21,0,3
2021-01-10,8,29,0,0
2021-01-17,10,15,0,0
2021-01-24,15,22,0,0
2021-01-31,30,23,0,0
2021-02-07,13,16,0,0
2021-02-14,13,35,0,0
2021-02-21,8,32,0,0
2021-02-28,11,44,0,5
2021-03-07,21,26,0,0
2021-03-14,18,32,0,0
2021-03-21,14,27,0,0
2021-03-28,23,31,0,0
2021-04-04,15,42,0,0
2021-04-11,29,33,0,0
2021-04-18,13,30,0,0
2021-04-25,14,41,0,0
2021-05-02,11,23,0,0
2021-05-09,11,18,0,4
2021-05-16,16,37,0,0
2021-05-23,27,22,0,0
2021-05-30,14,21,0,0
2021-06-06,9,39,0,0
2021-06-13,13,30,0,10
2021-06-20,28,41,0,0
2021-06-27,20,41,0,4
2021-07-04,12,42,0,0
2021-07-11,20,46,0,0
2021-07-18,12,21,0,15
2021-07-25,33,36,0,0
2021-08-01,0,16,0,0
2021-08-08,22,30,0,0
2021-08-15,19,22,0,0
2021-08-22,23,19,0,0
2021-08-29,14,45,0,0
2021-09-05,24,31,0,0
2021-09-12,36,42,0,5
2021-09-19,28,31,0,0
2021-09-26,46,36,0,0
2021-10-03,26,33,0,0
2021-10-10,31,22,0,0
2021-10-17,11,28,0,5
2021-10-24,9,23,0,0
2021-10-31,27,29,0,0
2021-11-07,19,31,0,0
2021-11-14,34,34,0,0
2021-11-21,30,36,0,0
2021-11-28,36,44,0,0
2021-12-05,39,50,0,15
2021-12-12,28,49,0,0
2021-12-19,32,53,0,0
2021-12-26,33,48,0,0
2022-01-02,27,43,0,0
2022-01-09,31,23,0,0
2022-01-16,29,51,0,0
2022-01-23,20,51,0,0
2022-01-30,33,49,0,6
2022-02-06,24,39,0,0
2022-02-13,20,36,0,5
2022-02-20,26,42,0,0
2022-02-27,28,59,0,4
2022-03-06,36,74,0,0
2022-03-13,42,56,0,0
2022-03-20,46,60,0,0
2022-03-27,24,46,0,0
2022-04-03,25,43,0,0
2022-04-10,35,41,0,0
2022-04-17,46,30,0,0
2022-04-24,18,29,0,0
2022-05-01,14,23,0,3
2022-05-08,32,37,0,0
2022-05-15,22,13,0,0
2022-05-22,11,39,0,0
2022-05-29,29,37,0,0
2022-06-05,34,37,0,0
2022-06-12,22,32,0,0
2022-06-19,13,52,0,0
2022-06-26,26,50,0,0
2022-07-03,22,49,0,7
2022-07-10,35,60,0,0
2022-07-17,35,54,0,4
2022-07-24,9,31,0,0
2022-07-31,22,44,0,0
2022-08-07,33,29,0,0
2022-08-14,28,27,0,0
2022-08-21,14,23,0,5
2022-08-28,27,36,0,9
2022-09-04,24,33,0,0
2022-09-11,19,33,0,15
2022-09-18,27,36,0,0
2022-09-25,19,35,0,6
2022-10-02,46,46,0,0
2022-10-09,40,30,0,0
2022-10-16,48,39,0,5
2022-10-23,32,32,0,11
2022-10-30,33,38,0,0
2022-11-06,51,52,0,6
2022-11-13,47,31,0,0
2022-11-20,53,50,0,0
2022-11-27,42,43,0,0
2022-12-04,72,55,0,0
2022-12-11,47,84,0,0
2022-12-18,69,83,0,0
2022-12-25,67,59,0,0
