Kategorie: Alle Kategorien

Woche,Fieber: (Schweiz),husten: (Schweiz),fièvre: (Schweiz),toux: (Schweiz)
2019-05-19,17,18,1,5
2019-05-26,17,14,3,4
2019-06-02,21,16,2,3
2019-06-09,21,14,1,5
2019-06-16,23,12,3,3
2019-06-23,25,10,3,5
2019-06-30,27,9,2,5
2019-07-07,25,13,2,4
2019-07-14,30,13,1,5
2019-07-21,22,11,1,4
2019-07-28,21,13,3,4
2019-08-04,24,13,2,2
2019-08-11,22,12,2,5
2019-08-18,22,9,2,4
2019-08-25,23,13,1,5
2019-09-01,22,14,3,6
2019-09-08,21,13,1,5
2019-09-15,24,16,1,6
2019-09-22,24,18,2,7
2019-09-29,21,15,2,5
2019-10-06,23,15,2,6
2019-10-13,20,14,3,8
2019-10-20,21,19,2,6
2019-10-27,22,18,3,7
2019-11-03,26,24,1,7
2019-11-10,27,25,3,7
2019-11-17,24,23,3,11
2019-11-24,24,24,4,9
2019-12-01,26,22,2,9
2019-12-08,27,21,3,8
2019-12-15,30,28,2,10
2019-12-22,28,27,3,9
2019-12-29,30,32,3,12
2020-01-05,26,25,4,8
2020-01-12,42,26,4,9
2020-01-19,40,28,4,11
2020-01-26,58,31,4,15
2020-02-02,52,34,4,12
2020-02-09,44,30,4,12
2020-02-16,41,28,5,12
2020-02-23,54,38,6,13
2020-03-01,70,45,6,12
2020-03-08,78,55,9,18
2020-03-15,100,55,12,21
2020-03-22,55,35,7,14
2020-03-29,33,25,5,9
2020-04-05,27,19,3,6
2020-04-12,22,17,3,5
2020-04-19,22,12,2,5
2020-04-26,17,8,1,3
2020-05-03,23,11,2,3
2020-05-10,22,8,4,3
2020-05-17,17,8,2,4
2020-05-24,19,10,2,2
2020-05-31,18,10,2,4
2020-06-07,22,12,2,3
2020-06-14,20,11,4,5
2020-06-21,24,16,4,6
2020-06-28,25,15,3,4
2020-07-05,24,17,3,5
2020-07-12,22,13,3,3
2020-07-19,24,8,4,4
2020-07-26,23,10,3,2
2020-08-02,21,10,5,4
2020-08-09,23,9,2,2
2020-08-16,27,12,4,4
2020-08-23,31,15,2,4
2020-08-30,28,16,3,6
2020-09-06,31,17,3,7
2020-09-13,26,13,4,3
2020-09-20,25,12,3,4
2020-09-27,25,12,2,5
2020-10-04,31,15,3,4
2020-10-11,36,17,4,5
2020-10-18,41,16,5,8
2020-10-25,38,20,5,9
2020-11-01,36,17,4,6
2020-11-08,31,22,3,9
2020-11-15,32,19,4,7
2020-11-22,30,15,3,5
2020-11-29,30,13,3,5
2020-12-06,32,20,2,5
2020-12-13,32,19,2,6
2020-12-20,29,19,3,4
2020-12-27,27,15,1,4
2021-01-03,25,15,2,4
2021-01-10,26,10,2,3
2021-01-17,21,13,2,5
2021-01-24,24,12,2,5
2021-01-31,23,16,3,4
2021-02-07,21,12,3,4
2021-02-14,24,11,2,9
2021-02-21,21,13,2,4
2021-02-28,22,14,3,5
2021-03-07,24,13,2,7
2021-03-14,27,13,3,6
2021-03-21,26,14,2,7
2021-03-28,28,17,3,5
2021-04-04,29,16,2,7
2021-04-11,30,18,3,5
2021-04-18,26,15,3,5
2021-04-25,29,17,2,6
2021-05-02,26,13,4,6
2021-05-09,27,14,3,6
2021-05-16,27,15,3,6
2021-05-23,26,15,3,6
2021-05-30,30,16,2,6
2021-06-06,35,11,3,5
2021-06-13,31,14,1,5
2021-06-20,34,17,3,3
2021-06-27,31,16,4,5
2021-07-04,36,17,3,5
2021-07-11,37,18,5,8
2021-07-18,36,18,2,5
2021-07-25,30,16,3,6
2021-08-01,26,12,3,5
2021-08-08,34,15,2,7
2021-08-15,34,15,1,6
2021-08-22,29,17,1,5
2021-08-29,29,20,3,6
2021-09-05,31,27,2,8
2021-09-12,32,25,3,8
2021-09-19,27,26,4,7
2021-09-26,32,26,3,10
2021-10-03,29,28,3,10
2021-10-10,28,28,2,11
2021-10-17,29,25,4,11
2021-10-24,26,23,2,10
2021-10-31,30,29,2,10
2021-11-07,32,30,3,9
2021-11-14,36,33,4,10
2021-11-21,32,30,3,10
2021-11-28,37,36,4,9
2021-12-05,44,34,3,16
2021-12-12,41,32,4,13
2021-12-19,43,32,4,13
2021-12-26,39,32,5,16
2022-01-02,46,26,6,12
2022-01-09,44,26,4,10
2022-01-16,44,27,4,11
2022-01-23,45,23,3,11
2022-01-30,45,22,4,11
2022-02-06,36,24,4,8
2022-02-13,35,24,4,9
2022-02-20,37,25,4,8
2022-02-27,47,30,4,10
2022-03-06,58,31,7,12
2022-03-13,57,36,4,14
2022-03-20,48,32,4,12
2022-03-27,38,28,5,12
2022-04-03,40,27,4,10
2022-04-10,40,33,3,11
2022-04-17,32,27,4,11
2022-04-24,25,19,3,9
2022-05-01,26,20,3,8
2022-05-08,30,20,2,7
2022-05-15,29,22,3,11
2022-05-22,29,20,4,7
2022-05-29,29,22,3,7
2022-06-05,34,19,3,8
2022-06-12,35,23,4,8
2022-06-19,46,19,4,6
2022-06-26,40,22,4,7
2022-07-03,45,22,4,9
2022-07-10,44,28,3,10
2022-07-17,41,21,5,8
2022-07-24,34,20,3,6
2022-07-31,32,19,5,4
2022-08-07,33,19,4,7
2022-08-14,28,16,5,6
2022-08-21,29,14,3,5
2022-08-28,28,16,2,5
2022-09-04,29,18,3,6
2022-09-11,30,20,3,7
2022-09-18,31,25,5,9
2022-09-25,34,27,3,11
2022-10-02,35,35,4,11
2022-10-09,31,30,3,18
2022-10-16,29,33,4,15
2022-10-23,31,31,4,12
2022-10-30,35,31,4,13
2022-11-06,42,37,4,13
2022-11-13,36,39,3,13
2022-11-20,36,41,4,15
2022-11-27,40,41,4,14
2022-12-04,50,46,4,16
2022-12-11,63,50,7,18
2022-12-18,75,62,6,25
2022-12-25,71,64,4,26
