Kategorie: Alle Kategorien

Woche,husten: (Graubünden),Fieber: (Graubünden),fièvre: (Graubünden),toux: (Graubünden)
2014-03-23,0,22,0,0
2014-03-30,18,0,0,0
2014-04-06,15,0,0,0
2014-04-13,17,0,0,0
2014-04-20,0,35,0,0
2014-04-27,0,16,0,0
2014-05-04,0,0,0,0
2014-05-11,24,40,0,0
2014-05-18,0,29,0,0
2014-05-25,0,35,0,0
2014-06-01,100,24,0,0
2014-06-08,30,0,0,0
2014-06-15,20,0,0,0
2014-06-22,0,0,0,0
2014-06-29,20,0,0,0
2014-07-06,27,31,0,0
2014-07-13,23,0,0,0
2014-07-20,0,0,0,0
2014-07-27,0,26,0,0
2014-08-03,0,0,0,0
2014-08-10,0,0,0,0
2014-08-17,0,0,0,0
2014-08-24,36,0,0,0
2014-08-31,0,46,0,0
2014-09-07,0,0,0,0
2014-09-14,0,16,0,0
2014-09-21,0,23,0,0
2014-09-28,0,24,0,0
2014-10-05,22,0,0,0
2014-10-12,21,43,0,0
2014-10-19,41,46,0,0
2014-10-26,0,0,0,0
2014-11-02,0,0,0,0
2014-11-09,0,0,0,0
2014-11-16,19,42,0,0
2014-11-23,0,0,0,0
2014-11-30,31,0,0,0
2014-12-07,31,0,0,0
2014-12-14,28,0,0,0
2014-12-21,50,0,0,0
2014-12-28,14,17,0,0
2015-01-04,0,33,0,0
2015-01-11,0,0,0,0
2015-01-18,0,42,0,0
2015-01-25,20,0,0,0
2015-02-01,0,27,0,0
2015-02-08,0,22,0,0
2015-02-15,0,32,0,0
2015-02-22,0,17,0,0
2015-03-01,0,0,0,0
2015-03-08,21,15,0,0
2015-03-15,0,29,0,0
2015-03-22,0,0,0,0
2015-03-29,0,18,0,0
2015-04-05,0,0,0,0
2015-04-12,19,24,0,0
2015-04-19,15,0,0,0
2015-04-26,18,0,0,0
2015-05-03,0,0,0,0
2015-05-10,0,23,0,0
2015-05-17,18,34,0,0
2015-05-24,0,39,0,0
2015-05-31,0,0,0,0
2015-06-07,0,0,0,0
2015-06-14,0,0,0,0
2015-06-21,29,0,0,0
2015-06-28,0,27,0,0
2015-07-05,0,0,0,0
2015-07-12,0,0,0,0
2015-07-19,0,0,0,0
2015-07-26,0,0,0,0
2015-08-02,24,19,0,0
2015-08-09,0,26,0,0
2015-08-16,0,18,0,0
2015-08-23,15,0,0,0
2015-08-30,0,0,0,0
2015-09-06,0,0,0,0
2015-09-13,0,0,0,0
2015-09-20,19,0,0,0
2015-09-27,0,0,0,0
2015-10-04,20,22,0,0
2015-10-11,0,0,0,0
2015-10-18,37,0,0,0
2015-10-25,0,79,0,0
2015-11-01,0,0,0,0
2015-11-08,19,0,0,0
2015-11-15,0,0,0,0
2015-11-22,18,0,0,0
2015-11-29,24,0,0,0
2015-12-06,0,0,0,0
2015-12-13,0,0,0,0
2015-12-20,44,0,0,0
2015-12-27,0,0,0,0
2016-01-03,19,16,0,0
2016-01-10,0,0,0,0
2016-01-17,13,17,0,0
2016-01-24,20,35,0,0
2016-01-31,0,0,0,0
2016-02-07,19,11,0,0
2016-02-14,13,33,0,0
2016-02-21,0,47,0,0
2016-02-28,21,40,0,0
2016-03-06,14,0,0,0
2016-03-13,0,0,0,0
2016-03-20,0,29,0,0
2016-03-27,12,0,0,0
2016-04-03,13,0,0,0
2016-04-10,0,27,0,0
2016-04-17,0,17,0,0
2016-04-24,23,44,0,0
2016-05-01,17,0,0,0
2016-05-08,0,31,0,0
2016-05-15,0,0,0,0
2016-05-22,0,35,0,0
2016-05-29,15,23,0,0
2016-06-05,0,48,0,0
2016-06-12,43,0,0,0
2016-06-19,0,0,0,0
2016-06-26,0,0,0,0
2016-07-03,0,0,0,0
2016-07-10,0,0,0,0
2016-07-17,15,23,0,0
2016-07-24,0,0,0,0
2016-07-31,0,12,0,0
2016-08-07,47,0,0,0
2016-08-14,0,0,0,0
2016-08-21,0,25,0,0
2016-08-28,0,0,0,0
2016-09-04,0,19,0,0
2016-09-11,0,0,0,0
2016-09-18,31,0,0,0
2016-09-25,35,25,0,0
2016-10-02,0,0,0,0
2016-10-09,15,27,0,0
2016-10-16,26,0,0,0
2016-10-23,13,15,0,0
2016-10-30,18,0,0,0
2016-11-06,0,0,0,0
2016-11-13,0,0,0,0
2016-11-20,0,0,0,0
2016-11-27,0,14,0,0
2016-12-04,0,53,0,0
2016-12-11,20,0,0,0
2016-12-18,24,19,0,0
2016-12-25,18,39,0,0
2017-01-01,34,12,0,0
2017-01-08,16,26,0,0
2017-01-15,0,29,0,0
2017-01-22,12,27,0,0
2017-01-29,14,45,0,0
2017-02-05,22,0,0,0
2017-02-12,0,23,0,0
2017-02-19,27,33,0,0
2017-02-26,12,19,0,0
2017-03-05,10,0,0,0
2017-03-12,11,41,0,0
2017-03-19,0,0,0,0
2017-03-26,0,0,0,0
2017-04-02,0,0,0,0
2017-04-09,0,0,0,0
2017-04-16,0,0,0,0
2017-04-23,0,17,0,0
2017-04-30,0,18,0,0
2017-05-07,0,0,0,0
2017-05-14,19,0,0,0
2017-05-21,0,0,0,0
2017-05-28,34,25,0,0
2017-06-04,18,0,0,0
2017-06-11,0,0,0,0
2017-06-18,24,16,0,0
2017-06-25,24,0,0,0
2017-07-02,0,22,0,0
2017-07-09,17,37,0,0
2017-07-16,13,0,0,0
2017-07-23,0,13,0,0
2017-07-30,0,0,0,0
2017-08-06,0,0,0,0
2017-08-13,0,0,0,0
2017-08-20,0,11,0,0
2017-08-27,13,21,0,0
2017-09-03,0,0,0,0
2017-09-10,42,0,0,0
2017-09-17,14,17,0,0
2017-09-24,17,0,0,0
2017-10-01,13,0,0,0
2017-10-08,0,0,0,0
2017-10-15,0,40,0,0
2017-10-22,30,0,0,0
2017-10-29,23,0,0,0
2017-11-05,0,24,0,0
2017-11-12,0,15,0,0
2017-11-19,20,38,0,0
2017-11-26,12,17,0,0
2017-12-03,0,0,0,0
2017-12-10,18,0,0,0
2017-12-17,0,14,0,0
2017-12-24,29,19,0,0
2017-12-31,7,34,0,0
