Kategorie: Alle Kategorien

Woche,husten: (Luzern),Fieber: (Luzern),fièvre: (Luzern),toux: (Luzern)
2017-09-24,23,30,0,14
2017-10-01,34,9,0,0
2017-10-08,27,0,0,0
2017-10-15,26,25,0,16
2017-10-22,17,0,0,0
2017-10-29,0,26,0,0
2017-11-05,39,51,0,9
2017-11-12,16,26,0,0
2017-11-19,25,25,0,0
2017-11-26,10,23,0,0
2017-12-03,0,27,0,11
2017-12-10,27,28,0,0
2017-12-17,10,20,0,0
2017-12-24,31,47,0,0
2017-12-31,37,40,0,9
