Kategorie: Alle Kategorien

Woche,Influenza: (Luzern),influenza: (Luzern),Grippe: (Luzern),Flu: (Luzern)
2019-10-13,3,0,8,0
2019-10-20,3,0,14,4
2019-10-27,6,0,0,4
2019-11-03,13,12,14,0
2019-11-10,11,0,7,0
2019-11-17,4,9,7,0
2019-11-24,5,0,9,0
2019-12-01,7,0,13,0
2019-12-08,14,0,23,7
2019-12-15,0,4,12,0
2019-12-22,0,12,0,0
2019-12-29,9,0,8,9
2020-01-05,7,6,3,0
2020-01-12,7,6,8,0
2020-01-19,24,0,25,0
2020-01-26,41,18,26,0
2020-02-02,35,4,25,4
2020-02-09,21,9,25,0
2020-02-16,14,0,15,0
2020-02-23,95,16,73,11
2020-03-01,67,10,48,0
2020-03-08,89,14,75,0
2020-03-15,100,12,80,8
2020-03-22,81,5,62,0
2020-03-29,60,11,44,5
2020-04-05,33,5,24,3
2020-04-12,15,5,11,7
2020-04-19,23,3,17,0
2020-04-26,24,0,14,5
2020-05-03,17,5,7,0
2020-05-10,19,9,10,8
2020-05-17,20,0,9,0
2020-05-24,0,16,2,3
2020-05-31,5,0,5,0
2020-06-07,11,6,8,3
2020-06-14,0,0,4,0
2020-06-21,4,0,7,0
2020-06-28,8,0,8,3
2020-07-05,4,14,10,0
2020-07-12,5,0,10,0
2020-07-19,0,8,6,0
2020-07-26,4,0,10,0
2020-08-02,0,0,0,0
2020-08-09,7,0,0,0
2020-08-16,13,0,6,0
2020-08-23,9,0,9,0
2020-08-30,9,3,8,5
2020-09-06,4,0,4,0
2020-09-13,4,0,0,0
2020-09-20,11,0,6,3
2020-09-27,11,0,8,0
2020-10-04,3,0,14,0
2020-10-11,16,0,12,0
2020-10-18,38,0,32,4
2020-10-25,32,4,21,0
2020-11-01,20,3,23,11
2020-11-08,16,0,12,0
2020-11-15,11,0,0,9
2020-11-22,8,5,12,5
2020-11-29,8,0,13,4
2020-12-06,8,0,10,0
2020-12-13,18,5,14,0
2020-12-20,10,0,6,0
2020-12-27,18,12,14,0
2021-01-03,8,0,9,6
2021-01-10,20,4,9,0
2021-01-17,11,0,8,0
2021-01-24,12,4,14,0
2021-01-31,0,5,13,0
2021-02-07,6,0,9,0
2021-02-14,0,5,0,0
2021-02-21,13,4,0,0
2021-02-28,12,8,9,0
2021-03-07,14,0,17,0
2021-03-14,13,5,6,0
2021-03-21,5,0,5,4
2021-03-28,0,6,0,0
2021-04-04,21,0,0,0
2021-04-11,7,0,3,0
2021-04-18,4,0,21,0
2021-04-25,5,0,0,0
2021-05-02,3,4,0,0
2021-05-09,0,0,0,0
2021-05-16,3,0,0,0
2021-05-23,4,0,4,0
2021-05-30,0,0,3,4
2021-06-06,0,0,4,0
2021-06-13,0,4,0,0
2021-06-20,0,0,4,3
2021-06-27,0,5,0,0
2021-07-04,4,0,7,0
2021-07-11,7,7,5,0
2021-07-18,5,13,0,0
2021-07-25,10,0,9,7
2021-08-01,6,0,14,0
2021-08-08,7,0,0,0
2021-08-15,0,0,5,0
2021-08-22,5,6,3,7
2021-08-29,10,0,12,6
2021-09-05,13,5,9,0
2021-09-12,10,7,7,0
2021-09-19,10,0,10,0
2021-09-26,8,3,0,5
2021-10-03,7,0,17,15
2021-10-10,5,0,5,0
2021-10-17,8,0,10,0
2021-10-24,6,0,9,6
2021-10-31,9,0,10,0
2021-11-07,30,0,11,0
2021-11-14,9,4,6,3
2021-11-21,7,0,16,0
2021-11-28,15,0,26,0
2021-12-05,14,4,10,0
2021-12-12,6,4,10,0
2021-12-19,24,11,26,4
2021-12-26,16,4,17,9
2022-01-02,9,6,0,3
2022-01-09,14,0,10,0
2022-01-16,15,0,16,0
2022-01-23,10,0,11,0
2022-01-30,10,0,9,0
2022-02-06,10,0,0,0
2022-02-13,14,0,14,0
2022-02-20,7,0,20,0
2022-02-27,3,0,5,0
2022-03-06,9,0,11,2
2022-03-13,11,7,8,0
2022-03-20,7,0,0,5
2022-03-27,0,0,8,0
2022-04-03,8,4,7,0
2022-04-10,12,0,8,0
2022-04-17,0,0,9,5
2022-04-24,7,8,18,3
2022-05-01,9,0,5,0
2022-05-08,3,0,5,0
2022-05-15,3,0,8,0
2022-05-22,0,4,5,3
2022-05-29,5,3,6,0
2022-06-05,5,0,11,0
2022-06-12,5,0,6,0
2022-06-19,8,0,6,8
2022-06-26,3,0,9,0
2022-07-03,9,0,0,3
2022-07-10,9,0,6,0
2022-07-17,5,0,6,0
2022-07-24,5,0,0,5
2022-07-31,6,0,10,0
2022-08-07,7,0,0,0
2022-08-14,0,12,0,0
2022-08-21,0,4,6,0
2022-08-28,5,0,6,0
2022-09-04,5,0,6,0
2022-09-11,0,0,5,8
2022-09-18,8,0,10,0
2022-09-25,8,0,8,0
2022-10-02,19,0,0,3
2022-10-09,3,0,13,0
2022-10-16,12,0,9,3
2022-10-23,9,3,0,0
2022-10-30,8,8,5,0
2022-11-06,12,4,2,0
2022-11-13,12,0,12,3
2022-11-20,12,3,20,3
2022-11-27,9,4,7,8
2022-12-04,15,4,8,7
2022-12-11,18,4,14,0
2022-12-18,38,9,28,0
2022-12-25,47,14,25,0
