Kategorie: Alle Kategorien

Woche,husten: (Sankt Gallen),Fieber: (Sankt Gallen),fièvre: (Sankt Gallen),toux: (Sankt Gallen)
2021-10-17,21,17,0,0
2021-10-24,12,26,0,0
2021-10-31,20,24,0,0
2021-11-07,36,20,0,0
2021-11-14,12,22,0,0
2021-11-21,30,36,0,0
2021-11-28,25,37,0,0
2021-12-05,25,24,0,0
2021-12-12,36,15,0,0
2021-12-19,16,28,0,0
2021-12-26,14,33,0,0
2022-01-02,16,21,0,0
2022-01-09,27,35,0,0
2022-01-16,21,36,0,0
2022-01-23,29,47,0,4
2022-01-30,18,40,0,0
2022-02-06,32,27,0,0
2022-02-13,22,19,0,0
2022-02-20,17,36,0,4
2022-02-27,42,44,0,4
2022-03-06,43,43,0,3
2022-03-13,50,51,0,0
2022-03-20,26,31,0,0
2022-03-27,24,29,0,0
2022-04-03,19,23,0,3
2022-04-10,22,25,0,0
2022-04-17,17,22,0,0
2022-04-24,15,22,0,0
2022-05-01,20,12,0,3
2022-05-08,16,20,0,0
2022-05-15,26,26,0,0
2022-05-22,9,24,0,6
2022-05-29,6,22,0,8
2022-06-05,7,30,0,0
2022-06-12,14,54,0,0
2022-06-19,11,31,0,0
2022-06-26,19,29,0,0
2022-07-03,0,45,0,0
2022-07-10,30,41,0,0
2022-07-17,28,34,0,0
2022-07-24,10,26,0,0
2022-07-31,16,21,0,0
2022-08-07,22,38,0,14
2022-08-14,4,17,0,0
2022-08-21,7,26,0,0
2022-08-28,16,8,0,10
2022-09-04,18,18,0,0
2022-09-11,22,23,0,0
2022-09-18,28,25,0,0
2022-09-25,19,40,0,0
2022-10-02,35,31,0,0
2022-10-09,10,11,0,7
2022-10-16,27,24,0,0
2022-10-23,29,31,0,0
2022-10-30,27,22,0,0
2022-11-06,18,28,0,4
2022-11-13,24,26,0,5
2022-11-20,41,30,0,0
2022-11-27,16,29,0,6
2022-12-04,43,36,0,0
2022-12-11,46,39,0,0
2022-12-18,40,59,0,0
2022-12-25,33,66,0,7
