Kategorie: Alle Kategorien

Woche,Influenza: (Freiburg),influenza: (Freiburg),Grippe: (Freiburg),Flu: (Freiburg)
2015-05-17,0,0,0,12
2015-05-24,0,0,0,0
2015-05-31,0,0,24,0
2015-06-07,0,0,0,0
2015-06-14,20,0,26,0
2015-06-21,0,0,0,0
2015-06-28,17,14,17,25
2015-07-05,0,0,0,28
2015-07-12,0,16,14,19
2015-07-19,0,0,0,0
2015-07-26,0,0,0,0
2015-08-02,27,24,16,0
2015-08-09,23,0,0,29
2015-08-16,0,0,23,0
2015-08-23,0,0,13,0
2015-08-30,0,0,0,0
2015-09-06,0,0,0,0
2015-09-13,0,0,25,0
2015-09-20,0,0,0,17
2015-09-27,42,0,0,0
2015-10-04,17,26,0,0
2015-10-11,0,0,16,0
2015-10-18,0,14,0,0
2015-10-25,0,0,0,0
2015-11-01,0,0,12,0
2015-11-08,17,0,25,100
2015-11-15,0,16,10,0
2015-11-22,16,0,24,18
2015-11-29,0,0,34,20
2015-12-06,0,23,0,12
2015-12-13,0,0,21,0
2015-12-20,21,0,0,0
2015-12-27,24,0,0,13
2016-01-03,0,0,13,18
2016-01-10,26,0,20,10
2016-01-17,23,10,22,0
2016-01-24,28,0,25,0
2016-01-31,18,0,29,10
2016-02-07,13,0,0,0
2016-02-14,23,0,9,0
2016-02-21,17,0,18,13
2016-02-28,28,8,0,12
2016-03-06,25,0,18,0
2016-03-13,24,0,48,0
2016-03-20,13,0,24,0
2016-03-27,13,0,22,0
2016-04-03,14,0,0,0
2016-04-10,0,0,29,9
2016-04-17,9,8,0,0
2016-04-24,31,14,0,0
2016-05-01,10,0,0,21
2016-05-08,0,8,0,0
2016-05-15,0,0,18,14
2016-05-22,0,34,0,0
2016-05-29,0,0,0,0
2016-06-05,10,0,0,10
2016-06-12,0,0,13,7
2016-06-19,26,0,0,0
2016-06-26,0,0,0,0
2016-07-03,0,0,0,0
2016-07-10,0,0,0,0
2016-07-17,0,0,0,0
2016-07-24,20,0,0,0
2016-07-31,35,11,0,0
2016-08-07,35,0,25,0
2016-08-14,20,0,0,0
2016-08-21,0,0,0,0
2016-08-28,0,0,0,0
2016-09-04,0,0,0,0
2016-09-11,0,31,0,0
2016-09-18,9,21,0,0
2016-09-25,0,0,16,0
2016-10-02,0,0,11,0
2016-10-09,36,0,15,0
2016-10-16,47,0,0,15
2016-10-23,0,0,0,0
2016-10-30,10,0,0,0
2016-11-06,0,20,0,0
2016-11-13,0,0,14,0
2016-11-20,0,0,12,0
2016-11-27,19,0,0,0
2016-12-04,18,0,15,0
2016-12-11,15,0,0,0
2016-12-18,33,0,11,0
2016-12-25,67,23,64,0
2017-01-01,38,0,45,0
2017-01-08,40,17,45,0
2017-01-15,27,0,25,0
2017-01-22,18,0,60,14
2017-01-29,25,0,30,0
2017-02-05,19,0,40,0
2017-02-12,30,0,22,20
2017-02-19,23,0,0,0
2017-02-26,10,0,12,9
2017-03-05,0,0,0,0
2017-03-12,0,0,24,8
2017-03-19,0,8,0,9
2017-03-26,35,0,0,0
2017-04-02,12,0,18,0
2017-04-09,0,0,8,0
2017-04-16,7,0,0,0
2017-04-23,0,0,0,0
2017-04-30,7,0,13,0
2017-05-07,19,0,9,0
2017-05-14,16,0,11,0
2017-05-21,0,0,0,0
2017-05-28,0,0,0,0
2017-06-04,0,0,15,0
2017-06-11,17,0,0,0
2017-06-18,10,0,0,0
2017-06-25,0,22,0,0
2017-07-02,0,0,0,0
2017-07-09,0,0,0,0
2017-07-16,0,0,0,0
2017-07-23,14,0,0,17
2017-07-30,0,0,0,0
2017-08-06,0,18,0,0
2017-08-13,19,8,0,0
2017-08-20,0,0,12,7
2017-08-27,0,9,0,0
2017-09-03,0,0,0,13
2017-09-10,29,14,0,0
2017-09-17,0,0,0,0
2017-09-24,12,0,13,0
2017-10-01,0,0,0,13
2017-10-08,34,31,16,0
2017-10-15,8,0,11,21
2017-10-22,10,0,9,0
2017-10-29,10,0,10,0
2017-11-05,14,0,20,14
2017-11-12,12,0,17,10
2017-11-19,10,0,13,0
2017-11-26,15,8,0,0
2017-12-03,13,7,7,0
2017-12-10,30,13,16,0
2017-12-17,36,9,29,0
2017-12-24,51,9,10,0
2017-12-31,38,11,31,6
