Kategorie: Alle Kategorien

Woche,Influenza: (Schaffhausen),influenza: (Schaffhausen),Grippe: (Schaffhausen),Flu: (Schaffhausen)
2022-05-29,0,0,0,0
2022-06-05,11,0,0,0
2022-06-12,0,0,22,0
2022-06-19,18,0,0,0
2022-06-26,0,0,17,19
2022-07-03,0,0,0,0
2022-07-10,0,0,0,0
2022-07-17,0,0,0,0
2022-07-24,18,12,0,0
2022-07-31,0,0,0,0
2022-08-07,0,0,0,21
2022-08-14,0,34,20,9
2022-08-21,0,0,9,0
2022-08-28,0,0,0,0
2022-09-04,0,0,0,0
2022-09-11,14,11,0,8
2022-09-18,0,0,0,0
2022-09-25,0,0,0,0
2022-10-02,0,0,0,0
2022-10-09,0,0,0,0
2022-10-16,0,16,0,0
2022-10-23,20,0,41,0
2022-10-30,0,19,0,0
2022-11-06,0,0,14,0
2022-11-13,0,32,0,0
2022-11-20,19,0,0,10
2022-11-27,0,0,8,0
2022-12-04,24,0,0,0
2022-12-11,9,0,22,0
2022-12-18,23,0,33,0
2022-12-25,11,0,35,0
