Kategorie: Alle Kategorien

Woche,husten: (Solothurn),Fieber: (Solothurn),fièvre: (Solothurn),toux: (Solothurn)
2015-05-10,0,30,0,0
2015-05-17,29,20,0,0
2015-05-24,32,0,0,0
2015-05-31,17,0,0,0
2015-06-07,16,25,0,0
2015-06-14,0,0,0,0
2015-06-21,0,30,0,0
2015-06-28,17,40,0,0
2015-07-05,16,0,0,0
2015-07-12,0,55,0,0
2015-07-19,18,27,0,0
2015-07-26,0,0,0,0
2015-08-02,24,23,0,0
2015-08-09,0,37,0,0
2015-08-16,0,42,0,0
2015-08-23,0,0,0,0
2015-08-30,0,0,0,0
2015-09-06,21,0,0,0
2015-09-13,15,29,0,0
2015-09-20,15,0,0,0
2015-09-27,39,50,0,0
2015-10-04,0,0,0,0
2015-10-11,0,0,0,0
2015-10-18,18,37,0,0
2015-10-25,26,0,0,0
2015-11-01,0,0,0,0
2015-11-08,34,0,0,0
2015-11-15,0,36,0,0
2015-11-22,0,30,0,0
2015-11-29,30,0,0,0
2015-12-06,23,0,0,0
2015-12-13,0,0,0,0
2015-12-20,0,0,0,0
2015-12-27,27,0,0,0
2016-01-03,14,0,0,0
2016-01-10,25,39,0,0
2016-01-17,62,39,0,0
2016-01-24,15,0,0,0
2016-01-31,51,23,0,0
2016-02-07,31,13,0,0
2016-02-14,14,60,0,0
2016-02-21,27,31,0,0
2016-02-28,0,24,0,0
2016-03-06,24,22,0,0
2016-03-13,18,23,0,0
2016-03-20,21,35,0,0
2016-03-27,0,27,0,0
2016-04-03,24,0,0,0
2016-04-10,0,0,0,0
2016-04-17,0,0,0,0
2016-04-24,0,15,0,0
2016-05-01,0,0,0,0
2016-05-08,0,0,0,0
2016-05-15,0,13,0,0
2016-05-22,0,0,0,0
2016-05-29,0,17,0,0
2016-06-05,0,22,0,0
2016-06-12,18,20,0,0
2016-06-19,0,13,0,0
2016-06-26,22,0,0,0
2016-07-03,0,24,0,0
2016-07-10,12,28,0,0
2016-07-17,0,0,0,0
2016-07-24,0,0,0,0
2016-07-31,23,0,0,0
2016-08-07,19,12,0,0
2016-08-14,0,0,0,0
2016-08-21,0,91,0,0
2016-08-28,29,25,0,0
2016-09-04,26,0,0,0
2016-09-11,54,23,0,0
2016-09-18,21,0,0,0
2016-09-25,13,35,0,0
2016-10-02,0,0,0,0
2016-10-09,30,0,0,0
2016-10-16,0,0,0,0
2016-10-23,0,59,0,0
2016-10-30,0,0,0,0
2016-11-06,24,34,0,0
2016-11-13,10,22,0,0
2016-11-20,19,0,0,0
2016-11-27,27,0,0,0
2016-12-04,0,0,0,0
2016-12-11,22,40,0,0
2016-12-18,30,0,0,0
2016-12-25,29,41,0,0
2017-01-01,32,23,0,0
2017-01-08,33,26,0,0
2017-01-15,40,16,0,0
2017-01-22,12,57,0,0
2017-01-29,25,42,0,0
2017-02-05,0,15,0,0
2017-02-12,22,15,0,0
2017-02-19,11,34,0,0
2017-02-26,0,14,0,0
2017-03-05,0,38,0,0
2017-03-12,22,18,0,0
2017-03-19,0,37,0,0
2017-03-26,0,29,0,0
2017-04-02,0,24,0,0
2017-04-09,0,43,0,0
2017-04-16,0,0,0,0
2017-04-23,16,15,0,0
2017-04-30,15,0,0,0
2017-05-07,0,29,0,0
2017-05-14,27,25,0,0
2017-05-21,0,32,0,0
2017-05-28,14,11,0,0
2017-06-04,0,0,0,0
2017-06-11,0,14,0,0
2017-06-18,0,0,0,0
2017-06-25,0,13,0,0
2017-07-02,0,25,0,0
2017-07-09,0,15,0,0
2017-07-16,0,17,0,0
2017-07-23,0,23,0,0
2017-07-30,0,0,0,0
2017-08-06,0,0,0,0
2017-08-13,13,0,0,0
2017-08-20,0,24,0,0
2017-08-27,0,0,0,0
2017-09-03,19,0,0,0
2017-09-10,9,0,0,0
2017-09-17,0,0,0,0
2017-09-24,20,14,0,0
2017-10-01,0,35,0,0
2017-10-08,26,21,0,0
2017-10-15,14,13,0,0
2017-10-22,18,12,0,0
2017-10-29,11,18,0,0
2017-11-05,0,18,0,0
2017-11-12,10,33,0,0
2017-11-19,14,10,0,0
2017-11-26,20,0,0,0
2017-12-03,0,18,0,0
2017-12-10,12,17,0,0
2017-12-17,10,26,0,0
2017-12-24,31,34,0,0
2017-12-31,0,23,0,0
