Kategorie: Alle Kategorien

Woche,Influenza: (Tessin),influenza: (Tessin),Grippe: (Tessin),Flu: (Tessin)
2016-03-13,35,11,16,17
2016-03-20,10,14,0,0
2016-03-27,12,11,0,0
2016-04-03,15,0,0,0
2016-04-10,0,21,0,0
2016-04-17,0,0,0,18
2016-04-24,34,9,0,0
2016-05-01,19,15,0,14
2016-05-08,32,0,9,0
2016-05-15,28,24,15,0
2016-05-22,0,13,0,0
2016-05-29,0,0,13,17
2016-06-05,0,12,0,0
2016-06-12,0,26,0,19
2016-06-19,0,10,0,0
2016-06-26,0,17,0,10
2016-07-03,18,12,0,14
2016-07-10,0,15,0,0
2016-07-17,0,0,0,0
2016-07-24,0,0,0,0
2016-07-31,21,0,0,17
2016-08-07,0,0,35,0
2016-08-14,0,0,0,0
2016-08-21,34,0,0,27
2016-08-28,12,0,0,48
2016-09-04,0,0,13,0
2016-09-11,0,0,0,0
2016-09-18,0,0,0,0
2016-09-25,26,10,0,10
2016-10-02,0,0,0,0
2016-10-09,26,23,0,0
2016-10-16,22,10,0,0
2016-10-23,0,13,16,14
2016-10-30,26,23,0,0
2016-11-06,48,36,0,18
2016-11-13,17,15,0,0
2016-11-20,19,0,0,16
2016-11-27,39,0,18,14
2016-12-04,40,25,11,0
2016-12-11,0,23,0,0
2016-12-18,31,45,0,0
2016-12-25,65,43,28,0
2017-01-01,48,15,11,0
2017-01-08,42,42,0,0
2017-01-15,55,45,0,20
2017-01-22,29,19,0,0
2017-01-29,33,25,13,0
2017-02-05,45,27,9,9
2017-02-12,18,18,0,0
2017-02-19,16,14,0,0
2017-02-26,14,0,14,0
2017-03-05,27,28,0,0
2017-03-12,0,0,0,0
2017-03-19,18,0,0,0
2017-03-26,34,43,0,0
2017-04-02,15,0,0,0
2017-04-09,18,0,0,0
2017-04-16,14,22,0,0
2017-04-23,0,0,0,9
2017-04-30,12,0,0,12
2017-05-07,0,0,0,0
2017-05-14,37,0,9,0
2017-05-21,14,0,0,0
2017-05-28,0,0,0,0
2017-06-04,15,0,23,0
2017-06-11,0,0,0,0
2017-06-18,0,0,0,10
2017-06-25,18,0,12,0
2017-07-02,0,0,0,0
2017-07-09,0,0,13,0
2017-07-16,24,10,0,0
2017-07-23,0,0,18,0
2017-07-30,0,0,0,0
2017-08-06,0,13,19,0
2017-08-13,15,13,0,0
2017-08-20,11,10,0,0
2017-08-27,0,0,0,0
2017-09-03,0,0,0,0
2017-09-10,21,11,0,14
2017-09-17,14,0,0,0
2017-09-24,0,15,0,9
2017-10-01,17,10,10,0
2017-10-08,47,0,0,0
2017-10-15,0,24,0,0
2017-10-22,30,16,0,0
2017-10-29,0,9,0,0
2017-11-05,37,16,24,0
2017-11-12,0,12,31,0
2017-11-19,20,10,0,0
2017-11-26,0,10,0,0
2017-12-03,0,10,10,0
2017-12-10,36,0,28,0
2017-12-17,37,19,0,0
2017-12-24,100,64,16,0
2017-12-31,93,76,0,20
