Kategorie: Alle Kategorien

Woche,husten: (Schwyz),Fieber: (Schwyz),fièvre: (Schwyz),toux: (Schwyz)
2020-05-03,0,28,0,0
2020-05-10,0,0,0,0
2020-05-17,0,20,0,0
2020-05-24,19,39,0,0
2020-05-31,0,0,0,0
2020-06-07,0,0,0,0
2020-06-14,0,0,0,0
2020-06-21,0,0,0,0
2020-06-28,0,27,0,0
2020-07-05,70,28,0,0
2020-07-12,15,0,0,0
2020-07-19,27,0,0,0
2020-07-26,24,40,0,0
2020-08-02,0,0,0,0
2020-08-09,0,14,0,0
2020-08-16,0,29,0,0
2020-08-23,0,0,0,0
2020-08-30,17,16,0,0
2020-09-06,27,82,0,0
2020-09-13,0,0,0,0
2020-09-20,0,15,0,0
2020-09-27,0,0,0,0
2020-10-04,0,23,0,0
2020-10-11,26,35,0,0
2020-10-18,18,54,0,0
2020-10-25,0,32,0,0
2020-11-01,17,33,0,0
2020-11-08,28,14,0,0
2020-11-15,21,17,0,0
2020-11-22,0,43,0,0
2020-11-29,30,58,0,0
2020-12-06,53,20,0,0
2020-12-13,37,16,0,0
2020-12-20,31,0,0,0
2020-12-27,0,0,0,0
2021-01-03,0,21,0,0
2021-01-10,0,0,0,0
2021-01-17,21,22,0,0
2021-01-24,13,17,0,0
2021-01-31,20,0,0,0
2021-02-07,0,63,0,0
2021-02-14,0,53,0,0
2021-02-21,29,22,0,0
2021-02-28,0,24,0,0
2021-03-07,23,0,0,0
2021-03-14,13,0,0,0
2021-03-21,36,25,0,0
2021-03-28,24,0,0,0
2021-04-04,22,0,0,0
2021-04-11,25,0,0,0
2021-04-18,0,0,0,0
2021-04-25,43,41,0,0
2021-05-02,16,29,0,0
2021-05-09,0,0,0,0
2021-05-16,39,29,0,0
2021-05-23,0,0,0,0
2021-05-30,47,0,0,0
2021-06-06,0,0,0,0
2021-06-13,0,61,0,0
2021-06-20,41,33,0,0
2021-06-27,0,68,0,0
2021-07-04,22,46,0,0
2021-07-11,57,39,0,0
2021-07-18,0,0,0,0
2021-07-25,39,25,0,0
2021-08-01,100,27,0,0
2021-08-08,42,46,0,0
2021-08-15,0,18,0,0
2021-08-22,0,20,0,0
2021-08-29,0,82,0,0
2021-09-05,47,0,0,0
2021-09-12,23,0,0,0
2021-09-19,45,37,0,0
2021-09-26,0,26,0,0
2021-10-03,22,70,0,0
2021-10-10,58,0,0,0
2021-10-17,0,40,0,0
2021-10-24,0,26,0,0
2021-10-31,0,0,0,0
2021-11-07,33,15,0,0
2021-11-14,0,59,0,0
2021-11-21,15,0,0,0
2021-11-28,66,0,0,0
2021-12-05,19,31,0,0
2021-12-12,47,23,0,0
2021-12-19,24,19,0,0
2021-12-26,51,35,0,0
2022-01-02,0,47,0,0
2022-01-09,0,44,0,0
2022-01-16,14,16,0,0
2022-01-23,36,66,0,0
2022-01-30,36,35,0,0
2022-02-06,27,23,0,0
2022-02-13,0,42,0,0
2022-02-20,0,30,0,0
2022-02-27,42,66,0,0
2022-03-06,12,43,0,0
2022-03-13,43,27,0,0
2022-03-20,25,43,0,0
2022-03-27,13,24,0,0
2022-04-03,19,24,0,0
2022-04-10,23,12,0,0
2022-04-17,27,19,0,0
2022-04-24,0,18,0,0
2022-05-01,22,75,0,0
2022-05-08,30,30,0,0
2022-05-15,27,0,0,0
2022-05-22,57,0,0,0
2022-05-29,20,38,0,0
2022-06-05,39,19,0,0
2022-06-12,0,41,0,0
2022-06-19,22,52,0,0
2022-06-26,31,35,0,0
2022-07-03,16,47,0,0
2022-07-10,18,41,0,0
2022-07-17,22,31,0,0
2022-07-24,0,43,0,0
2022-07-31,18,53,0,0
2022-08-07,42,17,0,0
2022-08-14,0,59,0,0
2022-08-21,0,18,0,0
2022-08-28,0,13,0,0
2022-09-04,24,18,0,0
2022-09-11,42,23,0,0
2022-09-18,0,0,0,0
2022-09-25,0,27,0,0
2022-10-02,43,0,0,0
2022-10-09,0,14,0,0
2022-10-16,27,0,0,0
2022-10-23,34,0,0,0
2022-10-30,30,70,0,0
2022-11-06,14,26,0,0
2022-11-13,57,0,0,0
2022-11-20,26,0,0,0
2022-11-27,35,51,0,0
2022-12-04,13,24,0,0
2022-12-11,46,44,0,0
2022-12-18,0,28,0,0
2022-12-25,0,85,0,0
