Kategorie: Alle Kategorien

Woche,husten: (Bern),Fieber: (Bern),fièvre: (Bern),toux: (Bern)
2020-07-12,15,21,0,0
2020-07-19,10,20,0,5
2020-07-26,3,20,0,4
2020-08-02,16,13,0,0
2020-08-09,15,23,0,3
2020-08-16,9,21,4,0
2020-08-23,16,35,0,0
2020-08-30,21,31,3,3
2020-09-06,23,47,0,0
2020-09-13,16,31,5,0
2020-09-20,17,22,0,0
2020-09-27,7,24,3,4
2020-10-04,20,30,0,5
2020-10-11,18,34,8,4
2020-10-18,16,31,3,7
2020-10-25,21,29,4,7
2020-11-01,14,30,0,2
2020-11-08,17,29,11,9
2020-11-15,9,43,0,5
2020-11-22,22,31,0,7
2020-11-29,14,33,0,8
2020-12-06,14,33,0,6
2020-12-13,20,27,0,0
2020-12-20,20,33,0,0
2020-12-27,23,27,0,20
2021-01-03,16,22,0,3
2021-01-10,19,33,0,0
2021-01-17,15,29,3,0
2021-01-24,11,33,0,3
2021-01-31,14,23,0,8
2021-02-07,14,20,7,0
2021-02-14,24,25,0,0
2021-02-21,13,27,0,12
2021-02-28,16,16,0,14
2021-03-07,5,23,0,6
2021-03-14,15,33,0,4
2021-03-21,11,28,0,5
2021-03-28,12,28,4,0
2021-04-04,22,27,0,0
2021-04-11,21,36,0,4
2021-04-18,17,27,0,0
2021-04-25,20,28,3,5
2021-05-02,13,26,0,5
2021-05-09,13,33,0,0
2021-05-16,19,29,9,4
2021-05-23,21,27,4,3
2021-05-30,16,34,5,0
2021-06-06,8,33,0,9
2021-06-13,30,31,0,6
2021-06-20,14,32,0,0
2021-06-27,25,28,0,10
2021-07-04,14,32,0,0
2021-07-11,24,33,7,0
2021-07-18,15,34,0,0
2021-07-25,19,33,10,0
2021-08-01,14,26,0,5
2021-08-08,16,31,0,5
2021-08-15,18,28,0,0
2021-08-22,21,37,0,0
2021-08-29,26,32,0,8
2021-09-05,25,36,0,5
2021-09-12,25,37,10,0
2021-09-19,23,26,0,0
2021-09-26,29,39,5,9
2021-10-03,9,29,5,9
2021-10-10,20,26,0,0
2021-10-17,35,38,0,0
2021-10-24,36,28,0,0
2021-10-31,44,42,0,0
2021-11-07,29,43,6,10
2021-11-14,44,35,5,6
2021-11-21,42,33,0,3
2021-11-28,26,42,0,3
2021-12-05,29,54,0,12
2021-12-12,36,39,0,5
2021-12-19,34,52,0,0
2021-12-26,33,41,0,7
2022-01-02,37,65,7,9
2022-01-09,15,57,0,10
2022-01-16,25,41,0,0
2022-01-23,25,50,0,0
2022-01-30,27,49,0,0
2022-02-06,30,52,0,7
2022-02-13,32,35,0,6
2022-02-20,32,34,0,0
2022-02-27,38,51,0,0
2022-03-06,37,72,5,9
2022-03-13,48,76,0,5
2022-03-20,42,49,0,8
2022-03-27,30,45,0,5
2022-04-03,28,48,0,5
2022-04-10,45,52,0,0
2022-04-17,24,41,0,0
2022-04-24,19,29,0,5
2022-05-01,24,22,3,7
2022-05-08,19,25,5,4
2022-05-15,24,29,4,4
2022-05-22,19,30,3,6
2022-05-29,21,34,3,4
2022-06-05,18,40,0,0
2022-06-12,32,45,6,0
2022-06-19,25,63,4,5
2022-06-26,29,37,0,5
2022-07-03,29,42,3,0
2022-07-10,28,43,0,0
2022-07-17,25,59,0,10
2022-07-24,28,49,0,5
2022-07-31,23,35,0,0
2022-08-07,18,40,4,0
2022-08-14,20,26,0,0
2022-08-21,20,31,0,0
2022-08-28,12,33,3,3
2022-09-04,22,24,0,0
2022-09-11,27,32,0,7
2022-09-18,16,34,0,0
2022-09-25,31,35,0,5
2022-10-02,34,44,0,11
2022-10-09,29,38,0,8
2022-10-16,36,31,0,0
2022-10-23,28,32,0,0
2022-10-30,40,35,0,7
2022-11-06,58,48,4,3
2022-11-13,46,47,5,7
2022-11-20,55,46,3,5
2022-11-27,56,59,0,0
2022-12-04,54,55,0,6
2022-12-11,53,65,6,5
2022-12-18,87,91,5,13
2022-12-25,86,84,5,14
