Kategorie: Alle Kategorien

Woche,Influenza: (Obwalden),influenza: (Obwalden),Grippe: (Obwalden),Flu: (Obwalden)
2016-09-04,0,0,0,13
2016-09-11,0,0,0,0
2016-09-18,0,0,0,0
2016-09-25,21,0,0,0
2016-10-02,0,0,0,14
2016-10-09,0,0,0,0
2016-10-16,0,0,0,25
2016-10-23,10,19,19,0
2016-10-30,14,0,0,0
2016-11-06,21,0,0,34
2016-11-13,0,0,0,0
2016-11-20,0,0,0,0
2016-11-27,12,0,0,0
2016-12-04,15,0,0,0
2016-12-11,0,0,0,18
2016-12-18,0,0,0,0
2016-12-25,12,0,11,19
2017-01-01,7,0,0,0
2017-01-08,0,0,0,0
2017-01-15,0,0,0,0
2017-01-22,0,0,12,11
2017-01-29,0,0,36,0
2017-02-05,15,0,0,0
2017-02-12,0,0,0,0
2017-02-19,0,0,0,0
2017-02-26,0,0,0,0
2017-03-05,0,0,0,0
2017-03-12,11,0,21,0
2017-03-19,0,0,0,12
2017-03-26,0,10,0,0
2017-04-02,11,0,0,0
2017-04-09,7,10,0,0
2017-04-16,18,12,0,0
2017-04-23,0,9,0,0
2017-04-30,0,0,0,0
2017-05-07,0,16,8,0
2017-05-14,0,0,0,0
2017-05-21,0,8,0,0
2017-05-28,8,0,14,0
2017-06-04,0,0,0,0
2017-06-11,0,0,0,7
2017-06-18,0,0,0,0
2017-06-25,0,9,0,0
2017-07-02,0,0,13,0
2017-07-09,0,0,0,0
2017-07-16,0,0,9,0
2017-07-23,0,0,0,0
2017-07-30,0,0,15,0
2017-08-06,7,0,0,7
2017-08-13,0,11,0,0
2017-08-20,0,0,0,0
2017-08-27,8,17,0,0
2017-09-03,0,0,0,0
2017-09-10,0,0,0,0
2017-09-17,0,0,0,0
2017-09-24,0,0,0,0
2017-10-01,0,0,0,0
2017-10-08,0,0,0,0
2017-10-15,8,0,0,0
2017-10-22,20,0,0,0
2017-10-29,0,0,0,0
2017-11-05,9,0,0,0
2017-11-12,0,0,0,0
2017-11-19,0,0,4,0
2017-11-26,0,0,0,0
2017-12-03,0,0,0,0
2017-12-10,0,0,0,0
2017-12-17,5,0,4,0
2017-12-24,7,0,0,0
2017-12-31,0,0,0,0
