Kategorie: Alle Kategorien

Woche,Influenza: (Schwyz),influenza: (Schwyz),Grippe: (Schwyz),Flu: (Schwyz)
2016-05-01,0,0,7,0
2016-05-08,0,16,0,0
2016-05-15,0,0,0,0
2016-05-22,0,0,0,0
2016-05-29,0,0,4,0
2016-06-05,0,0,16,0
2016-06-12,12,0,0,0
2016-06-19,0,0,0,0
2016-06-26,16,0,0,0
2016-07-03,0,0,16,0
2016-07-10,0,0,0,0
2016-07-17,0,22,0,0
2016-07-24,0,0,0,0
2016-07-31,0,8,0,0
2016-08-07,0,0,0,9
2016-08-14,0,0,6,33
2016-08-21,5,0,5,0
2016-08-28,0,6,0,0
2016-09-04,6,0,0,0
2016-09-11,9,0,0,0
2016-09-18,6,0,10,0
2016-09-25,7,0,6,0
2016-10-02,0,0,0,7
2016-10-09,0,0,0,0
2016-10-16,8,0,0,0
2016-10-23,0,15,11,0
2016-10-30,6,6,0,0
2016-11-06,0,0,0,0
2016-11-13,5,0,0,0
2016-11-20,0,0,0,0
2016-11-27,0,0,5,0
2016-12-04,0,0,0,0
2016-12-11,4,0,0,11
2016-12-18,0,0,15,0
2016-12-25,7,0,0,0
2017-01-01,10,4,6,0
2017-01-08,0,9,0,0
2017-01-15,0,0,9,0
2017-01-22,0,0,5,6
2017-01-29,5,0,5,0
2017-02-05,8,0,10,11
2017-02-12,5,0,0,0
2017-02-19,7,0,0,12
2017-02-26,0,0,0,5
2017-03-05,0,0,0,6
2017-03-12,0,0,6,0
2017-03-19,5,0,0,0
2017-03-26,0,0,0,0
2017-04-02,12,0,0,0
2017-04-09,0,0,0,0
2017-04-16,5,8,0,0
2017-04-23,0,0,0,0
2017-04-30,0,0,0,4
2017-05-07,0,0,6,11
2017-05-14,0,9,0,0
2017-05-21,0,0,0,0
2017-05-28,0,0,5,0
2017-06-04,5,0,0,5
2017-06-11,0,0,10,0
2017-06-18,4,0,0,0
2017-06-25,0,0,0,0
2017-07-02,0,0,0,0
2017-07-09,0,19,0,0
2017-07-16,0,0,0,0
2017-07-23,0,0,0,0
2017-07-30,11,0,0,0
2017-08-06,0,0,8,0
2017-08-13,0,0,0,0
2017-08-20,0,0,0,10
2017-08-27,0,0,0,0
2017-09-03,0,0,0,0
2017-09-10,0,0,0,0
2017-09-17,0,0,0,0
2017-09-24,4,21,0,0
2017-10-01,4,0,6,6
2017-10-08,0,0,5,0
2017-10-15,0,7,0,0
2017-10-22,4,0,4,0
2017-10-29,12,0,10,5
2017-11-05,4,0,4,0
2017-11-12,8,10,0,12
2017-11-19,0,10,0,4
2017-11-26,0,0,3,6
2017-12-03,0,0,3,0
2017-12-10,0,0,0,3
2017-12-17,7,0,11,5
2017-12-24,10,0,6,0
2017-12-31,10,0,9,0
