Kategorie: Alle Kategorien

Woche,husten: (Bern),Fieber: (Bern),fièvre: (Bern),toux: (Bern)
2014-11-16,0,38,12,40
2014-11-23,39,50,0,0
2014-11-30,31,0,0,0
2014-12-07,13,39,0,0
2014-12-14,48,46,0,23
2014-12-21,67,0,14,0
2014-12-28,36,0,0,34
2015-01-04,13,0,0,0
2015-01-11,40,42,0,0
2015-01-18,45,70,33,19
2015-01-25,43,44,0,0
2015-02-01,30,100,13,0
2015-02-08,50,74,0,0
2015-02-15,28,74,8,13
2015-02-22,39,49,14,0
2015-03-01,39,51,0,13
2015-03-08,37,57,0,0
2015-03-15,20,38,0,0
2015-03-22,25,51,0,0
2015-03-29,41,26,0,0
2015-04-05,41,40,0,0
2015-04-12,24,44,0,9
2015-04-19,22,22,12,0
2015-04-26,12,22,0,0
2015-05-03,33,43,20,0
2015-05-10,14,39,0,13
2015-05-17,26,27,0,0
2015-05-24,24,23,0,0
2015-05-31,0,23,38,0
2015-06-07,15,41,0,0
2015-06-14,29,47,0,0
2015-06-21,16,0,0,10
2015-06-28,0,50,15,0
2015-07-05,17,46,0,0
2015-07-12,19,37,0,0
2015-07-19,11,23,0,20
2015-07-26,19,38,13,16
2015-08-02,0,26,0,0
2015-08-09,0,48,25,0
2015-08-16,17,24,0,11
2015-08-23,25,32,12,0
2015-08-30,0,37,10,0
2015-09-06,23,17,0,11
2015-09-13,0,47,0,16
2015-09-20,41,49,14,0
2015-09-27,31,0,0,0
2015-10-04,38,29,0,0
2015-10-11,44,30,0,16
2015-10-18,14,34,19,11
2015-10-25,18,34,0,0
2015-11-01,27,0,42,0
2015-11-08,31,15,47,0
2015-11-15,34,28,0,16
2015-11-22,32,41,0,56
2015-11-29,24,12,0,0
2015-12-06,29,33,0,0
2015-12-13,14,69,18,0
2015-12-20,28,27,0,0
2015-12-27,59,35,0,0
2016-01-03,36,52,0,15
2016-01-10,36,41,0,0
2016-01-17,24,53,10,13
2016-01-24,68,47,0,19
2016-01-31,60,65,0,37
2016-02-07,47,62,0,0
2016-02-14,35,95,8,0
2016-02-21,28,46,0,0
2016-02-28,47,80,0,17
2016-03-06,22,63,0,0
2016-03-13,33,43,10,32
2016-03-20,38,65,0,0
2016-03-27,17,48,0,0
2016-04-03,35,62,0,0
2016-04-10,49,68,22,11
2016-04-17,12,27,0,11
2016-04-24,30,15,0,0
2016-05-01,15,35,0,0
2016-05-08,21,36,16,0
2016-05-15,20,0,8,19
2016-05-22,20,37,8,0
2016-05-29,28,34,0,0
2016-06-05,0,36,0,0
2016-06-12,14,49,0,11
2016-06-19,26,47,0,0
2016-06-26,22,49,0,0
2016-07-03,15,18,0,9
2016-07-10,46,33,0,13
2016-07-17,31,43,0,0
2016-07-24,40,32,0,0
2016-07-31,20,14,23,0
2016-08-07,16,0,0,0
2016-08-14,11,21,0,0
2016-08-21,8,36,0,0
2016-08-28,18,52,7,12
2016-09-04,31,25,0,0
2016-09-11,23,62,15,0
2016-09-18,40,45,22,0
2016-09-25,20,41,0,0
2016-10-02,36,28,9,0
2016-10-09,40,21,0,0
2016-10-16,12,15,20,11
2016-10-23,29,52,0,11
2016-10-30,84,27,0,0
2016-11-06,38,34,23,0
2016-11-13,48,56,0,10
2016-11-20,32,33,0,9
2016-11-27,28,48,0,0
2016-12-04,47,11,0,0
2016-12-11,66,45,9,16
2016-12-18,25,38,8,21
2016-12-25,59,78,0,15
2017-01-01,87,73,0,9
2017-01-08,75,84,0,0
2017-01-15,45,46,0,0
2017-01-22,47,67,0,0
2017-01-29,65,42,10,12
2017-02-05,42,43,0,8
2017-02-12,23,50,0,0
2017-02-19,40,50,0,21
2017-02-26,28,42,0,0
2017-03-05,46,25,0,11
2017-03-12,29,16,18,18
2017-03-19,25,44,7,0
2017-03-26,35,37,0,0
2017-04-02,39,33,0,7
2017-04-09,19,28,0,0
2017-04-16,34,26,0,26
2017-04-23,15,36,21,0
2017-04-30,24,16,0,0
2017-05-07,32,24,10,0
2017-05-14,31,34,0,0
2017-05-21,23,49,37,0
2017-05-28,11,22,0,0
2017-06-04,13,59,15,0
2017-06-11,28,42,12,0
2017-06-18,10,44,10,0
2017-06-25,13,19,13,22
2017-07-02,30,42,16,9
2017-07-09,20,34,0,0
2017-07-16,0,29,0,0
2017-07-23,30,30,0,14
2017-07-30,27,36,8,0
2017-08-06,0,46,7,0
2017-08-13,9,18,8,0
2017-08-20,33,43,0,7
2017-08-27,20,36,10,0
2017-09-03,17,50,0,9
2017-09-10,17,35,0,0
2017-09-17,36,31,0,0
2017-09-24,54,40,0,17
2017-10-01,23,0,0,0
2017-10-08,21,31,8,0
2017-10-15,36,26,0,0
2017-10-22,30,33,6,0
2017-10-29,19,32,0,0
2017-11-05,27,59,0,0
2017-11-12,27,39,0,0
2017-11-19,47,30,10,0
2017-11-26,21,32,12,0
2017-12-03,26,42,7,0
2017-12-10,55,34,0,0
2017-12-17,54,67,0,7
2017-12-24,56,42,0,12
2017-12-31,49,80,0,9
