Region,Total,Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,Jahr
Waadt,799145,175670,492075,131400,392529,406616,533878,265267,374074,319150,34214,69485,60,1892,247,493915,222272,82958,2018
Wallis,343955,68005,208500,67450,170431,173524,265879,78076,147060,149070,18370,28941,33,408,56,188756,82257,72942,2018
Genf,499480,105511,312012,81957,241848,257632,299540,199940,237453,191859,20326,48059,78,1475,219,455141,44339,0,2018
Espace Mittelland,1877154,373098,1136002,368054,926783,950371,1518454,358700,822245,790588,97441,163311,113,2955,460,940874,499938,436342,2018
Bern,1034977,197081,622412,215484,507791,527186,865906,169071,450924,437708,55506,88678,55,1787,296,543353,229573,262051,2018
Freiburg,318714,71206,197382,50126,159579,159135,246355,72359,146131,132836,13533,25678,25,444,58,104670,133895,80149,2018
Solothurn,273194,52055,167704,53435,136475,136719,211399,61795,114497,119734,14210,24262,11,412,61,164793,70080,38321,2018
Neuenburg,176850,37361,105812,33677,86621,90229,132143,44707,78853,69688,9652,18382,12,228,34,103062,52257,21531,2018
Jura,73419,15395,42692,15332,36317,37102,62651,10768,31840,30622,4540,6311,10,84,11,24996,14133,34290,2018
Nordwestschweiz,1161105,226158,713317,221630,576428,584677,854046,307059,498190,505965,56482,97709,68,2408,261,761407,291340,108358,2018
Basel-Stadt,194766,33585,122466,38715,94311,100455,123867,70899,93443,71195,10436,18868,25,722,74,194766,0,0,2018
Basel-Landschaft,288132,55328,169597,63207,141341,146791,222396,65736,116257,131140,15671,24333,9,661,59,196108,85166,6858,2018
Aargau,678207,137245,421254,119708,340776,337431,507783,170424,288490,303630,30375,54508,34,1025,128,370533,206174,101500,2018
Zürich,1520968,300178,962059,258731,757081,763887,1112574,408394,705128,616619,62676,130518,90,5125,753,1173534,337221,10213,2018
Ostschweiz,1176321,233799,719480,223042,590060,586261,906244,270077,502525,517369,58057,96680,60,1451,146,638126,201579,336616,2018
Glarus,40403,7726,24566,8111,20448,19955,30671,9732,16842,17889,2310,3316,2,41,3,30909,0,9494,2018
Schaffhausen,81991,15411,49233,17347,40560,41431,60626,21365,33668,36412,4568,7186,1,141,15,47099,26527,8365,2018
Appenzell A.Rh.,55234,11128,33220,10886,27889,27345,46220,9014,23502,24128,2795,4720,1,81,7,15745,26569,12920,2018
Appenzell I.Rh.,16145,3424,9630,3091,8300,7845,14321,1824,7354,6995,847,930,1,15,3,0,0,16145,2018
St.Gallen,507697,104248,310799,92650,254304,253393,385295,122402,219865,221801,24302,41014,28,605,54,351835,66645,89217,2018
Graubünden,198379,35687,120386,42306,99374,99005,161397,36982,84164,87286,10743,15942,15,202,24,64561,24381,109437,2018
Thurgau,276472,56175,171646,48651,139185,137287,207714,68758,117130,122858,12492,23572,12,366,40,127977,57457,91038,2018
Zentralschweiz,813056,162941,504973,145142,409769,403287,650521,162535,362322,354594,36382,58329,55,1247,111,477046,106022,229988,2018
Luzern,409557,83363,254126,72068,204100,205457,333672,75885,187057,174800,18649,28311,24,651,58,214883,46250,148424,2018
Uri,36433,7340,21651,7442,18609,17824,31936,4497,15568,16939,1996,1886,8,31,5,22499,9789,4145,2018
Schwyz,159165,30986,99947,28232,81599,77566,124828,34337,68977,70322,7053,12543,5,238,23,96821,33747,28597,2018
Obwalden,37841,7639,23100,7102,19144,18697,32296,5545,16644,16880,1782,2494,2,37,2,10368,0,27473,2018
Nidwalden,43223,7884,26552,8787,22122,21101,36872,6351,18622,19151,1999,3402,4,42,1,16097,5777,21349,2018
Zug,126837,25729,79597,21511,64195,62642,90917,35920,55454,56502,4903,9693,12,248,22,116378,10459,0,2018
Tessin,353343,64098,209350,79895,172192,181151,255116,98227,148532,152586,21400,30299,41,431,52,251554,76225,25564,2018
Schweiz,8484130,1700494,5233271,1550365,4206434,4277696,6357738,2126392,3755372,3592368,406117,711025,588,16435,2001,5339043,1852223,1292864,2017
Genferseeregion,1629841,346875,1005903,277063,798780,831061,1086874,542967,747544,661155,73063,143847,163,3558,458,1129428,344955,155458,2017
Waadt,793129,174446,488905,129778,389504,403625,527117,266012,368315,319792,34382,68554,57,1786,216,491022,219482,82625,2017
Wallis,341463,67825,207639,65999,169162,172301,263082,78381,145510,149095,18326,28051,35,378,52,187341,81289,72833,2017
Genf,495249,104604,309359,81286,240114,255135,296675,198574,233719,192268,20355,47242,71,1394,190,451065,44184,0,2017
Espace Mittelland,1868886,372526,1134465,361895,922655,946231,1514630,354256,815367,791716,97906,160544,123,2792,386,937087,501043,430756,2017
Bern,1031126,196464,622668,211994,505911,525215,864345,166781,447669,437969,55951,87498,57,1696,258,540715,228540,261871,2017
Freiburg,315074,70790,195404,48880,157874,157200,244143,70931,143931,132264,13480,24910,30,408,43,103666,132449,78959,2017
Solothurn,271432,51786,167169,52477,135497,135935,210812,60620,113401,119540,14256,23766,13,398,44,163697,70005,37730,2017
Neuenburg,177964,37939,106567,33458,87093,90871,132811,45153,78725,71046,9692,18242,14,212,32,103991,56005,17968,2017
Jura,73290,15547,42657,15086,36280,37010,62519,10771,31641,30897,4527,6128,9,78,9,25018,14044,34228,2017
Nordwestschweiz,1151919,224171,710358,217390,571672,580247,850199,301720,492796,504252,56491,95794,64,2261,242,755406,289244,107269,2017
Basel-Stadt,193908,33117,122052,38739,93723,100185,124147,69761,92283,71463,10613,18774,23,682,66,193908,0,0,2017
Basel-Landschaft,287023,55109,169687,62227,140771,146252,222343,64680,115488,131317,15650,23879,10,624,53,195457,84629,6937,2017
Aargau,670988,135945,418619,116424,337178,333810,503709,167279,285025,301472,30228,53141,31,955,123,366041,204615,100332,2017
Zürich,1504346,296854,952121,255371,748276,756070,1102014,402332,693245,613343,62962,129082,90,4914,655,1158518,335631,10197,2017
Ostschweiz,1169358,233468,717934,217956,586426,582932,902131,267227,499101,515657,58030,94989,54,1374,125,634402,200187,334769,2017
Glarus,40349,7761,24631,7957,20423,19926,30636,9713,16800,17940,2318,3243,2,40,6,30768,0,9581,2017
Schaffhausen,81351,15302,48973,17076,40251,41100,60185,21166,33340,36151,4598,7111,2,138,11,46786,26260,8305,2017
Appenzell A.Rh.,55178,11150,33438,10590,27879,27299,46181,8997,23452,24134,2844,4661,2,78,7,15780,26482,12916,2017
Appenzell I.Rh.,16105,3479,9613,3013,8290,7815,14271,1834,7319,7029,855,887,1,10,3,0,0,16105,2017
St.Gallen,504686,104151,309810,90725,252710,251976,383755,120931,218391,220999,24270,40353,25,583,46,349971,66182,88533,2017
Graubünden,197888,35900,120638,41350,99050,98838,160985,36903,83843,87490,10729,15615,12,177,17,64286,24278,109324,2017
Thurgau,273801,55725,170831,47245,137823,135978,206118,67683,115956,121914,12416,23119,10,348,35,126811,56985,90005,2017
Zentralschweiz,806071,161831,502449,141791,406120,399951,646768,159303,359219,352375,36269,56920,53,1128,92,472338,105163,228570,2017
Luzern,406506,82868,252896,70742,202534,203972,331512,74994,185365,174163,18682,27623,23,591,51,213163,45846,147497,2017
Uri,36299,7359,21656,7284,18522,17777,31928,4371,15541,16869,1991,1855,7,31,5,22323,9795,4181,2017
Schwyz,157301,30745,99111,27445,80618,76683,124130,33171,68164,69693,6999,12216,5,207,14,95518,33446,28337,2017
Obwalden,37575,7622,23079,6874,19030,18545,32056,5519,16589,16719,1770,2462,1,33,1,10236,0,27339,2017
