Kanton,Bevölkerung 1. Januar,Geburten,Todesfälle,Überschuss,Wanderungssaldo international 1,Wanderungssaldo interkantonal,Bevölkerung 31. Dezember,total,%,Jahr,Canton Size (km²),Abbreviation,Total,Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,BIP in Millionen CHF,BIP Growth Laufende Preise,BIP Growth Preise Vorjahr,BIP pro Kopf
Solothurn,263719,2536,2500,36,1943,597,266418,2699,1.0234378259,2015,791,SO,266418,51266,164739,50413,132439,133979,209355,57063,110681,118113,14493,22736,15,346,31,160616,68851,36951,17665.54196,0.53346,1.23691,66307.61420024172
Basel-Stadt,190580,2032,2146,-114,2568,-1485,191817,1237,0.6490712562,2015,37,BS,191817,32205,120778,38834,92514,99303,124365,67452,89611,71876,11013,18618,22,605,66,191817,0,0,32764.38987,2.08083,3.93401,170810.66782401977
Basel-Landschaft,281301,2550,2525,25,1474,613,283231,1930,0.6860978098,2015,518,BL,283231,54436,168679,60116,138808,144423,221489,61742,113105,131033,15535,22967,7,547,31,192488,83710,7033,20327.19358,1.89947,3.62318,71768.95742344589
Schaffhausen,79417,700,743,-43,552,-78,79836,419,0.5275948475,2015,298,SH,79836,15032,48401,16403,39391,40445,59664,20172,32404,35863,4637,6810,2,109,10,46264,25529,8043,6756.54773,-0.662,2.73216,84630.33881958014
Appenzell A.Rh.,54064,558,508,50,342,71,54543,479,0.8859869784,2015,243,AR,54543,11103,33196,10244,27506,27037,45985,8558,23055,24037,2874,4493,2,80,2,15721,26110,12712,3127.70844,0.90938,2.59211,57343.9018755844
Appenzell I.Rh.,15854,181,137,44,62,32,15974,120,0.7569067743,2015,172,AI,15974,3536,9514,2924,8196,7778,14240,1734,7338,6962,851,811,1,9,2,0,0,15974,992.23428,0.71577,1.97635,62115.58031801678
St.Gallen,495824,5363,3945,1418,3329,-1666,499065,3241,0.653659363,2015,2028,SG,499065,103693,308228,87144,249392,249673,381712,117353,215628,219430,24353,39106,18,482,34,347036,64874,87155,36676.13352,-0.5666,0.99187,73489.69276547144
Graubünden,195886,1748,1734,14,1666,-657,196610,724,0.3696027281,2015,7105,GR,196610,36141,121035,39434,98212,98398,160689,35921,83298,87457,10723,14935,14,166,13,64034,23551,109025,14011.72557,-0.80761,-1.88696,71266.5966634454
Aargau,645277,6707,4871,1836,5109,1501,653675,8398,1.3014565838,2015,1404,AG,653675,133140,410237,110298,327787,325888,495277,158398,276123,296112,29863,50636,33,828,75,356655,199598,97422,41592.75056,-0.63142,-0.45456,63629.097885034615
Thurgau,263733,2785,1941,844,1827,952,267429,3696,1.4014173425,2015,994,TG,267429,55091,167645,44693,134455,132974,202663,64766,113225,119222,12421,22211,12,308,27,124367,55336,87726,16060.14618,-0.77515,0.56954,60053.8691764917
