Kanton,Bevölkerung 1. Januar,Geburten,Todesfälle,Überschuss,Wanderungssaldo international 1,Wanderungssaldo interkantonal,Bevölkerung 31. Dezember,total,%,Jahr,Canton Size (km²),Abbreviation,Total,Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,BIP in Millionen CHF,BIP Growth Laufende Preise,BIP Growth Preise Vorjahr,BIP pro Kopf
Schweiz,8670300,89644,71192,18452,48871,0,8738791,68491,0.7899495981,2021,41285,CH,8738791,1742898,5334574,1661319,4338203,4400588,6494610,2244181,3963699,3580260,403549,767336,636,19705,3343,5497342,1908838,1332611,743330.23111,6.70527,5.39189,85060.99197360367
Zürich,1553423,17342,11925,5417,12183,-5123,1564662,11239,0.7234990083,2021,1729,ZH,1564662,310609,984746,269307,780245,784417,1136406,428256,743633,616559,62153,135482,80,5686,1017,1208239,346094,10329,152546.65496,2.23722,0.11607,97494.95735181145
Bern,1043132,10261,9890,371,3737,182,1047473,4341,0.4161505926,2021,5959,BE,1047473,199744,621199,226530,514609,532864,871624,175849,464576,432225,54602,93639,58,1965,389,549964,233241,264268,84877.88547,5.3217,4.24939,81031.09623828012
Luzern,416347,4456,3366,1090,1954,753,420326,3979,0.9556932078,2021,1493,LU,420326,85214,258090,77022,209465,210861,339079,81247,193764,176065,18815,30803,26,720,121,220641,48133,151552,30128.2107,7.44827,5.8338,71678.19906453563
Uri,36819,419,338,81,243,-17,37047,228,0.6192454982,2021,1077,UR,37047,7366,21709,7972,18844,18203,32143,4904,15941,16965,1981,2112,6,37,5,22782,9933,4332,2075.40995,4.72508,5.97861,56020.99900126867
Schwyz,162157,1694,1374,320,581,596,163689,1532,0.9447634083,2021,908,SZ,163689,31400,101748,30541,84061,79628,126855,36834,71384,71177,7192,13603,5,284,41,99436,35041,29212,10807.12397,7.84121,6.81654,66022.29819963468
Obwalden,38108,345,302,43,200,85,38435,327,0.8580875407,2021,491,OW,38435,7612,23127,7696,19454,18981,32623,5812,16930,16937,1831,2680,1,50,4,10650,0,27785,2716.26691,5.30961,5.93511,70671.70313516326
Nidwalden,43520,377,371,6,250,110,43894,374,0.859375,2021,276,NW,43894,7860,26489,9545,22488,21406,37080,6814,18935,19078,2075,3721,2,60,4,16027,5817,22050,3159.02335,10.21038,10.06293,71969.36597257029
Glarus,40851,396,432,-36,252,99,41190,339,0.8298450466,2021,685,GL,41190,7889,24747,8554,20812,20378,30891,10299,17476,17824,2293,3530,2,56,9,31700,0,9490,2980.12862,7.43167,7.1289,72350.77980092255
Zug,128794,1371,941,430,901,-376,129787,993,0.770998649,2021,239,ZG,129787,26199,80641,22947,65741,64046,91762,38025,57234,56947,5031,10237,13,291,31,118959,10828,0,22570.24618,11.07809,8.75732,173902.2103908712
Freiburg,325496,3728,2269,1459,1213,1732,329809,4313,1.3250546858,2021,1672,FR,329809,72292,203367,54150,165058,164751,253020,76789,154328,132883,13684,28252,26,546,79,106310,137898,85601,20251.55568,7.22777,5.63772,61403.89037291281
Solothurn,277462,2798,2457,341,1406,1027,280245,2783,1.0030202334,2021,791,SO,280245,53622,169413,57210,140047,140198,213728,66517,118971,120954,14088,25620,15,489,84,168651,71932,39662,19401.618,6.95138,5.18123,69230.91580581277
Basel-Stadt,196735,2052,2018,34,1541,-2464,196036,-699,-0.355300277,2021,37,BS,196036,34337,122872,38827,95406,100630,123872,72164,96818,69509,9702,19076,21,795,110,196036,0,0,40076.44716,6.28792,6.67318,204434.1200595809
Basel-Landschaft,290969,2645,2610,35,434,1411,292817,1848,0.6351192051,2021,518,BL,292817,56267,170238,66312,143638,149179,223507,69310,120231,130332,15822,25616,11,715,88,198771,87178,6868,21596.13264,5.5317,2.18664,73753.0014992299
Schaffhausen,83107,811,832,-21,586,321,83995,888,1.0685020516,2021,298,SH,83995,15831,49828,18336,41608,42387,61688,22307,34957,36677,4509,7661,2,162,26,47770,27558,8667,8249.921,13.91066,12.92377,98219.19161854872
Appenzell A.Rh.,55309,576,505,71,48,157,55585,276,0.4990146269,2021,243,AR,55585,11313,32862,11410,27993,27592,46368,9217,23785,23954,2763,4973,1,99,10,15679,26853,13053,3579.60946,4.83679,3.68367,64398.838895385445
Appenzell I.Rh.,16293,172,142,30,34,-6,16360,67,0.4112195421,2021,172,AI,16360,3417,9616,3327,8389,7971,14479,1881,7387,7051,855,1056,1,8,2,0,0,16360,1154.73784,10.72161,9.20011,70582.99755501222
St.Gallen,514504,5440,4560,880,3272,332,519245,4741,0.9214699983,2021,2028,SG,519245,106272,314899,98074,260651,258594,389811,129434,227645,222885,24278,43581,26,714,86,359447,68123,91675,41979.43718,8.75316,8.21854,80847.07061213878
Graubünden,200096,1793,1825,-32,1405,34,201376,1280,0.6396929474,2021,7105,GR,201376,35248,121024,45104,101045,100331,162520,38856,86183,86950,10737,17216,14,239,34,66054,24667,110655,15454.91878,5.65952,4.97386,76746.57744716351
Aargau,694072,7439,5368,2071,3591,3429,703086,9014,1.2987125255,2021,1404,AG,703086,142961,430594,129531,353433,349653,521525,181561,303700,308147,30890,58936,35,1157,197,384558,212438,106090,44950.70226,1.9101,0.24874,63933.433833129944
Thurgau,282909,3020,2327,693,1550,851,285964,3055,1.0798525321,2021,994,TG,285964,58001,174636,53327,144147,141817,212475,73489,122186,125305,12763,25178,12,455,65,132006,59880,94078,19274.42113,9.76667,7.99129,67401.56498720119
Tessin,350986,2556,3118,-562,1894,-26,352181,1195,0.3404694204,2021,2812,TI,352181,62356,207470,82355,171449,180732,254310,97871,151360,146769,21284,32119,43,520,84,249994,76806,25381,33181.44533,14.34717,13.17713,94217.02286608308
Waadt,814762,8884,5713,3171,6184,-968,822968,8206,1.0071652826,2021,3212,VD,822968,179789,506501,136678,404311,418657,550447,272521,399014,313418,33901,74074,77,2076,386,506885,230723,85360,62916.58247,11.46985,10.03168,76450.82490449204
Wallis,348503,3413,2831,582,2642,1837,353209,4706,1.3503470558,2021,5224,VS,353209,68414,213030,71765,175475,177734,271208,82001,154332,147735,18537,31922,31,554,83,194781,83921,74507,20134.43243,5.82724,6.49503,57004.30178732705
Neuenburg,175894,1689,1616,73,940,-732,176166,272,0.1546385892,2021,802,NE,176166,36347,105216,34603,86394,89772,131653,44513,81073,66304,9297,19176,14,251,51,103187,51500,21479,17602.75094,14.89815,15.21069,99921.38630609766
Genf,506343,5245,3288,1957,4205,-3244,509448,3105,0.6132206824,2021,282,GE,509448,107378,317976,84094,246918,262530,302804,206644,249203,187906,20066,50158,102,1680,320,464118,45330,0,56341.88573,8.31669,7.37909,110593.98747271557
Jura,73709,722,774,-52,158,0,73798,89,0.1207450922,2021,838,JU,73798,15160,42536,16102,36522,37276,62732,11066,32653,29704,4400,6915,12,96,17,24697,14944,34157,5322.68296,15.06674,14.65695,72125.02994661102
Schweiz,8738791,82371,74425,7946,68760,0,8815385,76594,0.8764827995,2022,41285,CH,8815385,1755213,5368549,1691623,4379953,4435432,6519362,2296023,4024051,3589295,402798,780357,647,14293,3682,5547579,1932177,1335629,,,,
Zürich,1564662,15426,12071,3355,16359,-3552,1579967,15305,0.9781665305,2022,1729,ZH,1579967,312392,994624,272951,788846,791121,1141651,438316,756713,619417,61890,136723,83,3970,1124,1221626,347932,10409,,,,
Bern,1047422,9278,10302,-1024,5234,-296,1051437,4015,0.3833220994,2022,5959,BE,1051437,200509,620777,230151,516805,534632,872661,178776,469022,431354,54214,94967,57,1389,416,551861,234361,265215,,,,
Luzern,420326,4080,3534,546,2856,895,424851,4525,1.0765453481,2022,1493,LU,424851,85932,260162,78757,212021,212830,340582,84269,196755,176873,18845,31692,27,520,127,223366,48728,152757,,,,
Uri,37047,320,335,-15,251,14,37317,270,0.7288039517,2022,1077,UR,37317,7362,21811,8144,19007,18310,32224,5093,16026,17082,1973,2200,6,25,5,22995,9998,4324,,,,
Schwyz,163689,1521,1345,176,968,35,164920,1231,0.7520358729,2022,908,SZ,164920,31575,101903,31442,84722,80198,127120,37800,72025,71493,7227,13926,4,197,44,100253,35258,29409,,,,
Obwalden,38435,335,317,18,331,-69,38700,265,0.6894757383,2022,491,OW,38700,7638,23137,7925,19574,19126,32652,6048,17104,16975,1823,2767,1,25,4,10654,0,28046,,,,
Nidwalden,43894,393,382,11,396,107,44420,526,1.198341459,2022,276,NW,44420,7906,26689,9825,22783,21637,37150,7270,19240,19214,2064,3839,2,44,4,16062,6022,22336,,,,
Glarus,41190,357,373,-16,242,44,41471,281,0.6822044185,2022,685,GL,41471,7968,24758,8745,20975,20496,30918,10553,17630,17889,2258,3638,2,44,9,31943,0,9528,,,,
Zug,129787,1254,889,365,1276,-290,131164,1377,1.0609691263,2022,239,ZG,131164,26480,81164,23520,66574,64590,92130,39034,57960,57404,5085,10430,12,232,38,120275,10889,0,,,,
Freiburg,329860,3482,2473,1009,1615,1952,334465,4605,1.3960468077,2022,1672,FR,334465,73118,205729,55618,167569,166896,255175,79290,157683,133499,13755,28986,28,405,99,108282,140065,86118,,,,
Solothurn,280245,2550,2617,-67,1485,757,282408,2163,0.7718246534,2022,791,SO,282408,54189,169758,58461,141168,141240,214403,68005,120412,121474,14045,25990,13,367,83,169914,72522,39972,,,,
Basel-Stadt,196036,1789,2110,-321,2731,-1936,196786,750,0.3825827909,2022,37,BS,196786,34516,123376,38894,95937,100849,123465,73321,98160,69212,9522,19145,21,598,121,196786,0,0,,,,
Basel-Landschaft,292817,2492,2856,-364,961,1068,294417,1600,0.5464163624,2022,518,BL,294417,56709,170422,67286,144441,149976,223876,70541,121799,130051,15814,26126,13,504,104,199822,87691,6904,,,,
Schaffhausen,83995,740,842,-102,850,454,85214,1219,1.4512768617,2022,298,SH,85214,16063,50430,18721,42318,42896,62066,23148,35698,36956,4518,7887,3,121,27,48606,27907,8701,,,,
Appenzell A.Rh.,55585,493,531,-38,260,-91,55759,174,0.3130340919,2022,243,AR,55759,11365,32747,11647,28114,27645,46395,9364,24016,23935,2744,4983,1,66,14,15744,26922,13093,,,,
Appenzell I.Rh.,16360,149,175,-26,46,42,16416,56,0.3422982885,2022,172,AI,16416,3392,9674,3350,8408,8008,14510,1906,7420,7045,855,1083,1,9,3,0,0,16416,,,,
St.Gallen,519245,5198,4412,786,5298,477,525967,6722,1.2945719265,2022,2028,SG,525967,107360,318282,100325,264521,261446,392009,133958,231778,224539,24426,44592,20,470,111,364320,68936,92711,,,,
Graubünden,201376,1641,1995,-354,1693,-140,202538,1162,0.5770300334,2022,7105,GR,202538,35349,121064,46125,101760,100778,162686,39852,87011,86944,10737,17628,15,157,42,66483,24663,111392,,,,
Aargau,703086,6829,5420,1409,4150,2615,711232,8146,1.1586064863,2022,1404,AG,711232,144909,433224,133099,357753,353479,524909,186323,308288,310713,31059,60103,32,803,212,388542,222279,100411,,,,
Thurgau,285964,2850,2348,502,2541,676,289650,3686,1.2889734372,2022,994,TG,289650,58864,175890,54896,146046,143604,213633,76017,124170,126446,12894,25730,12,321,74,133452,60676,95522,,,,
Tessin,352181,2435,3537,-1102,2796,281,354023,1842,0.5230265119,2022,2812,TI,354023,62193,208340,83490,172337,181686,254597,99426,153195,146184,21357,32761,43,389,92,251844,76920,25259,,,,
Waadt,822968,8364,6218,2146,6905,-1595,830431,7463,0.9068396341,2022,3212,VD,830431,180828,510764,138839,408209,422222,554772,275659,405980,313352,33611,75333,83,1646,405,511867,232420,86144,,,,
Wallis,353209,3148,3204,-56,3078,1490,357282,4073,1.1531416244,2022,5224,VS,357282,68941,215062,73279,177835,179447,272671,84611,157310,148115,18653,32679,38,373,100,196906,85174,75202,,,,
Neuenburg,176166,1577,1680,-103,1284,-805,176571,405,0.2298968019,2022,802,NE,176571,36157,105474,34940,86657,89914,131328,45243,82116,65602,9140,19433,13,205,61,103225,51728,21618,,,,
Genf,509448,5070,3721,1349,7422,-2157,514114,4666,0.9158932806,2022,282,GE,514114,108417,320827,84870,249007,265107,303157,210957,253662,188043,19930,50674,107,1341,344,467954,46160,0,,,,
Jura,73798,600,738,-138,186,24,73865,67,0.0907883682,2022,838,JU,73865,15081,42461,16323,36566,37299,62622,11243,32878,29484,4359,7042,10,72,19,24797,14926,34142,,,,
