region,date,weighted_avg_daily_temp,weighted_avg_daily_hum,weighted_max_daily_temp,weighted_min_daily_temp,weighted_max_daily_hum,weighted_min_daily_hum
Region_3,2020-11-15,9.700000000000001,81.35714285714286,15.414285714285715,5.8428571428571425,95.15714285714286,59.1
Region_3,2020-11-22,5.685714285714285,81.95714285714287,9.985714285714286,1.9428571428571428,96.01428571428572,60.0
Region_3,2020-11-29,2.642857142857143,83.38571428571429,6.414285714285714,0.2571428571428572,93.87142857142858,67.38571428571429
Region_3,2020-12-06,2.0,86.94285714285715,3.814285714285714,-0.07142857142857142,96.89999999999999,76.02857142857144
Region_3,2020-12-13,2.7714285714285714,87.04285714285716,4.7,0.7571428571428571,96.5,74.51428571428572
Region_3,2020-12-20,5.585714285714286,86.62857142857142,7.871428571428572,3.742857142857143,94.55714285714285,76.31428571428572
Region_3,2020-12-27,5.942857142857143,80.0,9.228571428571428,2.2857142857142856,93.58571428571429,62.6
Region_3,2021-01-03,2.4714285714285715,83.35714285714286,4.3428571428571425,0.5857142857142857,95.60000000000001,68.81428571428572
Region_3,2021-01-10,-0.14285714285714282,80.18571428571428,1.7285714285714284,-1.6857142857142857,92.45714285714287,67.61428571428571
Region_3,2021-01-17,0.3714285714285714,86.41428571428571,2.985714285714286,-2.8857142857142857,96.0,75.78571428571429
Region_3,2021-01-24,4.228571428571429,72.92857142857143,7.1000000000000005,-0.04285714285714291,89.7,55.57142857142857
Region_3,2021-01-31,4.714285714285714,83.15714285714286,7.057142857142857,2.0142857142857142,94.10000000000001,67.18571428571428
Region_3,2021-02-07,8.314285714285715,82.74285714285715,11.37142857142857,5.228571428571429,95.95714285714287,64.95714285714286
Region_3,2021-02-14,-3.628571428571429,73.25714285714285,-0.8714285714285716,-6.9142857142857155,86.55714285714285,61.18571428571429
Region_3,2021-02-21,7.042857142857143,70.95714285714286,12.242857142857144,2.2,89.48571428571428,49.471428571428575
Region_3,2021-02-28,9.114285714285714,63.699999999999996,16.342857142857145,3.585714285714286,85.38571428571429,37.957142857142856
Region_3,2021-03-07,6.528571428571429,69.3,12.171428571428573,1.5571428571428572,87.41428571428571,47.114285714285714
Region_3,2021-03-14,6.428571428571429,64.87142857142858,11.057142857142859,1.757142857142857,87.14285714285714,45.214285714285715
Region_3,2021-03-21,2.942857142857143,78.14285714285714,6.6000000000000005,0.19999999999999998,93.27142857142857,54.471428571428575
Region_3,2021-03-28,7.942857142857143,62.371428571428574,14.0,1.3714285714285714,87.10000000000001,36.81428571428571
Region_3,2021-04-04,11.942857142857141,50.94285714285714,19.47142857142857,4.485714285714286,77.35714285714286,24.428571428571427
Region_3,2021-04-11,7.228571428571429,57.871428571428574,13.328571428571427,1.0,84.12857142857142,34.01428571428571
Region_3,2021-04-18,4.614285714285714,67.98571428571428,9.514285714285714,-0.5,90.28571428571429,43.58571428571429
Region_3,2021-04-25,10.728571428571428,55.285714285714285,18.085714285714285,2.642857142857143,84.31428571428572,29.957142857142856
Region_3,2021-05-02,10.028571428571428,69.81428571428572,14.785714285714286,5.457142857142857,87.2,49.9
Region_3,2021-05-09,11.87142857142857,63.285714285714285,17.914285714285715,5.985714285714286,89.22857142857143,35.44285714285714
Region_3,2021-05-16,11.514285714285714,78.41428571428571,15.557142857142855,8.285714285714286,94.32857142857142,51.51428571428572
Region_3,2021-05-23,11.585714285714285,70.44285714285715,16.3,7.9,90.34285714285714,46.31428571428571
Region_3,2021-05-30,13.514285714285714,62.699999999999996,18.97142857142857,8.200000000000001,89.38571428571429,39.15714285714286
Region_3,2021-06-06,18.271428571428572,67.5,23.728571428571428,12.842857142857143,87.94285714285715,47.24285714285715
Region_3,2021-06-13,19.24285714285714,74.37142857142858,24.7,14.385714285714286,93.85714285714286,52.042857142857144
Region_3,2021-06-20,23.599999999999998,60.271428571428565,30.52857142857143,16.157142857142855,87.94285714285715,36.55714285714286
Region_3,2021-06-27,18.785714285714285,76.60000000000001,24.62857142857143,14.314285714285715,94.0,49.31428571428571
Region_3,2021-07-04,17.67142857142857,78.75714285714285,23.214285714285715,13.885714285714286,95.47142857142856,51.042857142857144
Region_3,2021-07-11,18.3,78.52857142857144,23.728571428571428,14.471428571428572,94.85714285714286,53.042857142857144
Region_3,2021-07-18,17.84285714285714,83.57142857142857,22.3,14.414285714285715,95.2,65.17142857142856
Region_3,2021-07-25,20.571428571428573,73.45714285714287,26.599999999999998,15.114285714285714,93.04285714285713,49.44285714285714
Region_3,2021-08-01,18.8,78.78571428571429,23.557142857142857,14.985714285714286,94.81428571428572,56.07142857142857
Region_3,2021-08-08,16.62857142857143,80.75714285714285,20.714285714285715,13.5,95.01428571428572,58.199999999999996
Region_3,2021-08-15,22.414285714285715,71.17142857142858,28.37142857142857,16.514285714285712,92.32857142857142,46.74285714285714
Region_3,2021-08-22,19.057142857142857,71.8,23.37142857142857,14.614285714285714,91.01428571428572,52.042857142857144
Region_3,2021-08-29,15.985714285714286,77.91428571428571,20.3,12.214285714285714,94.88571428571429,55.728571428571435
Region_3,2021-09-05,17.614285714285714,74.44285714285715,24.25714285714286,12.200000000000001,95.14285714285714,46.57142857142857
Region_3,2021-09-12,19.228571428571428,72.4,25.87142857142857,13.857142857142858,92.85714285714286,42.24285714285714
Region_3,2021-09-19,17.485714285714288,80.82857142857142,22.099999999999998,13.114285714285714,96.48571428571428,59.785714285714285
Region_3,2021-09-26,15.22857142857143,81.27142857142857,21.0,10.1,97.10000000000001,54.18571428571429
Region_3,2021-10-03,14.571428571428571,77.08571428571429,20.114285714285717,9.842857142857143,95.7,50.82857142857142
Region_3,2021-10-10,10.657142857142857,85.25714285714285,15.171428571428573,7.557142857142857,97.95714285714287,64.71428571428571
Region_3,2021-10-17,8.514285714285714,82.21428571428571,14.200000000000001,3.942857142857143,98.21428571428571,52.528571428571425
Region_3,2021-10-24,10.757142857142856,74.58571428571429,16.685714285714287,5.414285714285714,95.15714285714286,48.94285714285714
Region_3,2021-10-31,9.528571428571428,85.22857142857143,14.842857142857143,5.5,96.68571428571428,64.14285714285714
Region_3,2021-11-07,6.971428571428571,85.22857142857143,10.328571428571427,4.171428571428572,97.47142857142856,63.74285714285714
Region_3,2021-11-14,4.714285714285714,92.6857142857143,7.585714285714286,2.0,99.39999999999999,77.41428571428571
Region_3,2021-11-21,4.628571428571428,86.78571428571429,6.942857142857143,2.5714285714285716,94.55714285714285,74.60000000000001
