valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,prct,inc14d,dataComplete
cases,2013-W03,iso_week,VS,canton,all,agegroup_ili_ari,all,all,15,327011,4.59,9,6.73,TRUE
cases,2013-W03,iso_week,ZG,canton,all,agegroup_ili_ari,all,all,0,118118,0,0,0.85,TRUE
cases,2013-W03,iso_week,ZH,canton,all,agegroup_ili_ari,all,all,18,1425538,1.26,10.8,1.89,TRUE
cases,2013-W04,iso_week,AG,canton,all,agegroup_ili_ari,all,all,18,636362,2.83,7.1,4.87,TRUE
cases,2013-W04,iso_week,AI,canton,all,agegroup_ili_ari,all,all,1,15778,6.34,0.4,6.34,TRUE
cases,2013-W04,iso_week,AR,canton,all,agegroup_ili_ari,all,all,0,53691,0,0,0,TRUE
cases,2013-W04,iso_week,BE,canton,all,agegroup_ili_ari,all,all,38,1001281,3.8,15,5.19,TRUE
cases,2013-W04,iso_week,BL,canton,all,agegroup_ili_ari,all,all,10,278656,3.59,4,6.46,TRUE
cases,2013-W04,iso_week,BS,canton,all,agegroup_ili_ari,all,all,11,189335,5.81,4.3,11.62,TRUE
cases,2013-W04,iso_week,CH,country,all,agegroup_ili_ari,all,all,253,8139631,3.11,100,5.16,TRUE
cases,2013-W04,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,all,253,8176573,3.09,100,5.14,TRUE
cases,2013-W04,iso_week,FL,country,all,agegroup_ili_ari,all,all,0,36942,0,0,0,TRUE
cases,2013-W04,iso_week,FR,canton,all,agegroup_ili_ari,all,all,5,297622,1.68,2,2.69,TRUE
cases,2013-W04,iso_week,GE,canton,all,agegroup_ili_ari,all,all,28,469433,5.96,11.1,9.37,TRUE
cases,2013-W04,iso_week,GL,canton,all,agegroup_ili_ari,all,all,3,39593,7.58,1.2,17.68,TRUE
cases,2013-W04,iso_week,GR,canton,all,agegroup_ili_ari,all,all,9,194959,4.62,3.6,12.82,TRUE
cases,2013-W04,iso_week,JU,canton,all,agegroup_ili_ari,all,all,1,71738,1.39,0.4,2.79,TRUE
cases,2013-W04,iso_week,LU,canton,all,agegroup_ili_ari,all,all,6,390349,1.54,2.4,2.82,TRUE
cases,2013-W04,iso_week,NE,canton,all,agegroup_ili_ari,all,all,4,176402,2.27,1.6,5.1,TRUE
cases,2013-W04,iso_week,NW,canton,all,agegroup_ili_ari,all,all,2,41888,4.77,0.8,4.77,TRUE
cases,2013-W04,iso_week,OW,canton,all,agegroup_ili_ari,all,all,0,36507,0,0,0,TRUE
cases,2013-W04,iso_week,SG,canton,all,agegroup_ili_ari,all,all,6,491699,1.22,2.4,1.63,TRUE
cases,2013-W04,iso_week,SH,canton,all,agegroup_ili_ari,all,all,4,78783,5.08,1.6,7.62,TRUE
cases,2013-W04,iso_week,SO,canton,all,agegroup_ili_ari,all,all,4,261437,1.53,1.6,1.53,TRUE
cases,2013-W04,iso_week,SZ,canton,all,agegroup_ili_ari,all,all,3,151396,1.98,1.2,1.98,TRUE
cases,2013-W04,iso_week,TG,canton,all,agegroup_ili_ari,all,all,7,260278,2.69,2.8,3.46,TRUE
cases,2013-W04,iso_week,TI,canton,all,agegroup_ili_ari,all,all,10,346539,2.89,4,7.21,TRUE
cases,2013-W04,iso_week,unknown,canton,all,agegroup_ili_ari,all,all,0,NA,NA,0,NA,TRUE
cases,2013-W04,iso_week,UR,canton,all,agegroup_ili_ari,all,all,0,35865,0,0,0,TRUE
cases,2013-W04,iso_week,VD,canton,all,agegroup_ili_ari,all,all,35,749373,4.67,13.8,6.94,TRUE
cases,2013-W04,iso_week,VS,canton,all,agegroup_ili_ari,all,all,21,327011,6.42,8.3,11.01,TRUE
cases,2013-W04,iso_week,ZG,canton,all,agegroup_ili_ari,all,all,2,118118,1.69,0.8,1.69,TRUE
cases,2013-W04,iso_week,ZH,canton,all,agegroup_ili_ari,all,all,25,1425538,1.75,9.9,3.02,TRUE
cases,2013-W05,iso_week,AG,canton,all,agegroup_ili_ari,all,all,18,636362,2.83,5.6,5.66,TRUE
cases,2013-W05,iso_week,AI,canton,all,agegroup_ili_ari,all,all,0,15778,0,0,6.34,TRUE
cases,2013-W05,iso_week,AR,canton,all,agegroup_ili_ari,all,all,0,53691,0,0,0,TRUE
cases,2013-W05,iso_week,BE,canton,all,agegroup_ili_ari,all,all,50,1001281,4.99,15.5,8.79,TRUE
cases,2013-W05,iso_week,BL,canton,all,agegroup_ili_ari,all,all,15,278656,5.38,4.6,8.97,TRUE
cases,2013-W05,iso_week,BS,canton,all,agegroup_ili_ari,all,all,20,189335,10.56,6.2,16.37,TRUE
cases,2013-W05,iso_week,CH,country,all,agegroup_ili_ari,all,all,323,8139631,3.97,100,7.08,TRUE
cases,2013-W05,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,all,323,8176573,3.95,100,7.04,TRUE
cases,2013-W05,iso_week,FL,country,all,agegroup_ili_ari,all,all,0,36942,0,0,0,TRUE
cases,2013-W05,iso_week,FR,canton,all,agegroup_ili_ari,all,all,3,297622,1.01,0.9,2.69,TRUE
cases,2013-W05,iso_week,GE,canton,all,agegroup_ili_ari,all,all,47,469433,10.01,14.6,15.98,TRUE
cases,2013-W05,iso_week,GL,canton,all,agegroup_ili_ari,all,all,2,39593,5.05,0.6,12.63,TRUE
cases,2013-W05,iso_week,GR,canton,all,agegroup_ili_ari,all,all,8,194959,4.1,2.5,8.72,TRUE
cases,2013-W05,iso_week,JU,canton,all,agegroup_ili_ari,all,all,0,71738,0,0,1.39,TRUE
cases,2013-W05,iso_week,LU,canton,all,agegroup_ili_ari,all,all,8,390349,2.05,2.5,3.59,TRUE
cases,2013-W05,iso_week,NE,canton,all,agegroup_ili_ari,all,all,12,176402,6.8,3.7,9.07,TRUE
cases,2013-W05,iso_week,NW,canton,all,agegroup_ili_ari,all,all,1,41888,2.39,0.3,7.16,TRUE
cases,2013-W05,iso_week,OW,canton,all,agegroup_ili_ari,all,all,0,36507,0,0,0,TRUE
cases,2013-W05,iso_week,SG,canton,all,agegroup_ili_ari,all,all,1,491699,0.2,0.3,1.42,TRUE
cases,2013-W05,iso_week,SH,canton,all,agegroup_ili_ari,all,all,0,78783,0,0,5.08,TRUE
cases,2013-W05,iso_week,SO,canton,all,agegroup_ili_ari,all,all,8,261437,3.06,2.5,4.59,TRUE
cases,2013-W05,iso_week,SZ,canton,all,agegroup_ili_ari,all,all,3,151396,1.98,0.9,3.96,TRUE
cases,2013-W05,iso_week,TG,canton,all,agegroup_ili_ari,all,all,17,260278,6.53,5.3,9.22,TRUE
cases,2013-W05,iso_week,TI,canton,all,agegroup_ili_ari,all,all,18,346539,5.19,5.6,8.08,TRUE
cases,2013-W05,iso_week,unknown,canton,all,agegroup_ili_ari,all,all,1,NA,NA,0.3,NA,TRUE
cases,2013-W05,iso_week,UR,canton,all,agegroup_ili_ari,all,all,0,35865,0,0,0,TRUE
cases,2013-W05,iso_week,VD,canton,all,agegroup_ili_ari,all,all,39,749373,5.2,12.1,9.87,TRUE
cases,2013-W05,iso_week,VS,canton,all,agegroup_ili_ari,all,all,24,327011,7.34,7.4,13.76,TRUE
cases,2013-W05,iso_week,ZG,canton,all,agegroup_ili_ari,all,all,4,118118,3.39,1.2,5.08,TRUE
cases,2013-W05,iso_week,ZH,canton,all,agegroup_ili_ari,all,all,24,1425538,1.68,7.4,3.44,TRUE
cases,2013-W06,iso_week,AG,canton,all,agegroup_ili_ari,all,all,21,636362,3.3,5.4,6.13,TRUE
cases,2013-W06,iso_week,AI,canton,all,agegroup_ili_ari,all,all,0,15778,0,0,0,TRUE
cases,2013-W06,iso_week,AR,canton,all,agegroup_ili_ari,all,all,0,53691,0,0,0,TRUE
cases,2013-W06,iso_week,BE,canton,all,agegroup_ili_ari,all,all,46,1001281,4.59,11.7,9.59,TRUE
cases,2013-W06,iso_week,BL,canton,all,agegroup_ili_ari,all,all,17,278656,6.1,4.3,11.48,TRUE
cases,2013-W06,iso_week,BS,canton,all,agegroup_ili_ari,all,all,28,189335,14.79,7.1,25.35,TRUE
cases,2013-W06,iso_week,CH,country,all,agegroup_ili_ari,all,all,392,8139631,4.82,100,8.78,TRUE
cases,2013-W06,iso_week,CHFL,CHFL,all,agegroup_ili_ari,all,all,392,8176573,4.79,100,8.74,TRUE
cases,2013-W06,iso_week,FL,country,all,agegroup_ili_ari,all,all,0,36942,0,0,0,TRUE
cases,2013-W06,iso_week,FR,canton,all,agegroup_ili_ari,all,all,12,297622,4.03,3.1,5.04,TRUE
cases,2013-W06,iso_week,GE,canton,all,agegroup_ili_ari,all,all,67,469433,14.27,17.1,24.28,TRUE
cases,2013-W06,iso_week,GL,canton,all,agegroup_ili_ari,all,all,3,39593,7.58,0.8,12.63,TRUE
cases,2013-W06,iso_week,GR,canton,all,agegroup_ili_ari,all,all,20,194959,10.26,5.1,14.36,TRUE
cases,2013-W06,iso_week,JU,canton,all,agegroup_ili_ari,all,all,0,71738,0,0,0,TRUE
cases,2013-W06,iso_week,LU,canton,all,agegroup_ili_ari,all,all,5,390349,1.28,1.3,3.33,TRUE
cases,2013-W06,iso_week,NE,canton,all,agegroup_ili_ari,all,all,9,176402,5.1,2.3,11.9,TRUE
cases,2013-W06,iso_week,NW,canton,all,agegroup_ili_ari,all,all,0,41888,0,0,2.39,TRUE
cases,2013-W06,iso_week,OW,canton,all,agegroup_ili_ari,all,all,0,36507,0,0,0,TRUE
cases,2013-W06,iso_week,SG,canton,all,agegroup_ili_ari,all,all,9,491699,1.83,2.3,2.03,TRUE
cases,2013-W06,iso_week,SH,canton,all,agegroup_ili_ari,all,all,2,78783,2.54,0.5,2.54,TRUE
cases,2013-W06,iso_week,SO,canton,all,agegroup_ili_ari,all,all,7,261437,2.68,1.8,5.74,TRUE
cases,2013-W06,iso_week,SZ,canton,all,agegroup_ili_ari,all,all,6,151396,3.96,1.5,5.94,TRUE
cases,2013-W06,iso_week,TG,canton,all,agegroup_ili_ari,all,all,13,260278,4.99,3.3,11.53,TRUE
cases,2013-W06,iso_week,TI,canton,all,agegroup_ili_ari,all,all,19,346539,5.48,4.8,10.68,TRUE
cases,2013-W06,iso_week,unknown,canton,all,agegroup_ili_ari,all,all,0,NA,NA,0,NA,TRUE
cases,2013-W06,iso_week,UR,canton,all,agegroup_ili_ari,all,all,0,35865,0,0,0,TRUE
cases,2013-W06,iso_week,VD,canton,all,agegroup_ili_ari,all,all,48,749373,6.41,12.2,11.61,TRUE
cases,2013-W06,iso_week,VS,canton,all,agegroup_ili_ari,all,all,35,327011,10.7,8.9,18.04,TRUE
cases,2013-W06,iso_week,ZG,canton,all,agegroup_ili_ari,all,all,1,118118,0.85,0.3,4.23,TRUE
