,RMSE,lags,seasonal_lags,hidden_layers,alpha,batch_size,activation,learning_rate,exog_lags,grippe_lags,exogenous_lags,grippe_lag
39,0.9429040581358974,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,16.0
40,1.0360094422593102,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,17.0
41,0.7739848847029044,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,17.0
42,0.8671721808698428,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,18.0
43,0.8579798700825374,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,18.0
44,0.8072378330653004,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,19.0
45,0.8122102122413031,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,19.0
46,0.9182743067026774,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,20.0
47,0.8273502608039807,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,20.0
48,0.9362519960255321,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,21.0
49,0.8867825027286034,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,21.0
50,0.7672374168898998,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,22.0
51,1.1658120976727082,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,22.0
52,1.0214897521299184,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,23.0
53,0.8712320011741307,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,23.0
54,0.7749286959790597,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,24.0
55,0.829124332029572,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,24.0
56,0.8833077120594471,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,25.0
57,0.7837950592388387,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,25.0
58,0.9224341990633578,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,26.0
59,1.0650988758763236,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,26.0
60,0.8069880965967414,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,27.0
61,0.825715756992509,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,27.0
62,1.0507927067748375,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,28.0
63,0.8704285314735186,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,28.0
64,0.9127520508315197,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,29.0
65,0.7321217853225302,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,29.0
66,0.9257664813783218,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,30.0
67,0.8368091648220758,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,30.0
68,0.8257866542509696,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,31.0
69,0.8184091977276001,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,31.0
70,0.9717695973700179,21,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,32.0
71,0.9975928684519481,21,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,32.0
72,0.7531476998174246,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,15.0
73,0.8720198019446271,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,15.0
74,0.8075491628180921,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,16.0
75,0.7568200332762615,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,16.0
76,0.8516087972227622,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,17.0
77,0.8308898551502196,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,17.0
78,0.775779498135444,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,18.0
79,0.7594324358567914,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,18.0
80,0.8322656214190681,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,19.0
81,0.6776620901866699,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,19.0
82,0.7673443245786506,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,20.0
83,0.913911004461668,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,20.0
84,0.7661986067822736,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,21.0
85,0.7726767805306197,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,21.0
86,0.8248245319055743,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,22.0
87,0.7935499454022251,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,22.0
88,0.6760281561184244,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,23.0
89,0.7223098650977223,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,23.0
90,0.8500732792115002,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,24.0
91,0.7608939037733782,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,24.0
92,0.9050126073581767,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,25.0
93,0.8489989960957485,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,25.0
94,0.7246187760988594,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,26.0
95,0.754065285104483,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,26.0
96,0.8939150142880727,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,27.0
97,0.7543277221470887,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,27.0
98,0.7847518859167129,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,28.0
99,0.7650822529664909,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,28.0
100,0.9186957295499294,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,29.0
101,0.8164159211292105,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,29.0
102,0.8035610884164314,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,30.0
103,0.7507439980549946,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,30.0
104,0.7985657784665925,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,31.0
105,0.9204146961096503,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,31.0
106,0.9266092974636098,22,[52],"(16, 16)",0.2,32,relu,0.0001,,,33.0,32.0
107,0.851207990888509,22,[52],"(16, 16, 16)",0.2,32,relu,0.0001,,,33.0,32.0
