,RMSE,lags,seasonal_lags,hidden_layers,alpha,batch_size,activation,learning_rate
97,0.8102357875078257,31,[52],"(16, 16, 16)",0.1,32,relu,0.0001
98,1.383414561428532,31,[52],"(16, 16)",0.15,32,relu,0.0001
99,0.7779796737466332,31,[52],"(16, 16, 16)",0.15,32,relu,0.0001
100,1.3756785992577074,31,[52],"(16, 16)",0.2,32,relu,0.0001
101,0.7932173595738657,31,[52],"(16, 16, 16)",0.2,32,relu,0.0001
102,0.9969074605877903,32,[52],"(16, 16)",0.1,32,relu,0.0001
103,1.1581349089211879,32,[52],"(16, 16, 16)",0.1,32,relu,0.0001
104,1.018461504391765,32,[52],"(16, 16)",0.15,32,relu,0.0001
105,1.1913687079718922,32,[52],"(16, 16, 16)",0.15,32,relu,0.0001
106,0.9903699520662398,32,[52],"(16, 16)",0.2,32,relu,0.0001
107,1.135828186515566,32,[52],"(16, 16, 16)",0.2,32,relu,0.0001
108,1.5853757641884414,33,[52],"(16, 16)",0.1,32,relu,0.0001
109,1.0388110750191417,33,[52],"(16, 16, 16)",0.1,32,relu,0.0001
110,1.4720927398584547,33,[52],"(16, 16)",0.15,32,relu,0.0001
111,1.0118841915571517,33,[52],"(16, 16, 16)",0.15,32,relu,0.0001
112,1.4351898759069304,33,[52],"(16, 16)",0.2,32,relu,0.0001
113,0.934601381573703,33,[52],"(16, 16, 16)",0.2,32,relu,0.0001
114,1.123845159758687,34,[52],"(16, 16)",0.1,32,relu,0.0001
115,4.528578679864981,34,[52],"(16, 16, 16)",0.1,32,relu,0.0001
116,1.0843903674481572,34,[52],"(16, 16)",0.15,32,relu,0.0001
117,3.5891428981232925,34,[52],"(16, 16, 16)",0.15,32,relu,0.0001
118,1.0902610956797811,34,[52],"(16, 16)",0.2,32,relu,0.0001
119,2.7238027333582244,34,[52],"(16, 16, 16)",0.2,32,relu,0.0001
120,54.27435920674384,35,[52],"(16, 16)",0.1,32,relu,0.0001
121,0.91808655769597,35,[52],"(16, 16, 16)",0.1,32,relu,0.0001
122,47.40630361975004,35,[52],"(16, 16)",0.15,32,relu,0.0001
123,0.9228066304467243,35,[52],"(16, 16, 16)",0.15,32,relu,0.0001
124,36.88491974595323,35,[52],"(16, 16)",0.2,32,relu,0.0001
125,0.9411454548939268,35,[52],"(16, 16, 16)",0.2,32,relu,0.0001
126,1.12636059099517,36,[52],"(16, 16)",0.1,32,relu,0.0001
127,1.1433043217690073,36,[52],"(16, 16, 16)",0.1,32,relu,0.0001
128,1.079626614684988,36,[52],"(16, 16)",0.15,32,relu,0.0001
129,1.1117322135028371,36,[52],"(16, 16, 16)",0.15,32,relu,0.0001
130,1.0086271116974708,36,[52],"(16, 16)",0.2,32,relu,0.0001
131,1.0886092293876546,36,[52],"(16, 16, 16)",0.2,32,relu,0.0001
132,1.4410050812185424,37,[52],"(16, 16)",0.1,32,relu,0.0001
133,1.9171970991604723,37,[52],"(16, 16, 16)",0.1,32,relu,0.0001
134,1.5121465620776695,37,[52],"(16, 16)",0.15,32,relu,0.0001
135,1.8356197984499232,37,[52],"(16, 16, 16)",0.15,32,relu,0.0001
136,1.5004007952281215,37,[52],"(16, 16)",0.2,32,relu,0.0001
137,1.7861186420598554,37,[52],"(16, 16, 16)",0.2,32,relu,0.0001
138,0.9060026347760806,38,[52],"(16, 16)",0.1,32,relu,0.0001
139,1.039262817054272,38,[52],"(16, 16, 16)",0.1,32,relu,0.0001
140,0.8914787424085134,38,[52],"(16, 16)",0.15,32,relu,0.0001
141,0.962913287230719,38,[52],"(16, 16, 16)",0.15,32,relu,0.0001
142,0.8885441391734693,38,[52],"(16, 16)",0.2,32,relu,0.0001
143,0.9176852421991466,38,[52],"(16, 16, 16)",0.2,32,relu,0.0001
144,1.1305833074955205,39,[52],"(16, 16)",0.1,32,relu,0.0001
145,1.2952024132458808,39,[52],"(16, 16, 16)",0.1,32,relu,0.0001
146,1.1213926309069364,39,[52],"(16, 16)",0.15,32,relu,0.0001
147,1.2332021023264734,39,[52],"(16, 16, 16)",0.15,32,relu,0.0001
148,1.1169205739225465,39,[52],"(16, 16)",0.2,32,relu,0.0001
149,1.1995246942828086,39,[52],"(16, 16, 16)",0.2,32,relu,0.0001
150,1.0973148013841378,40,[52],"(16, 16)",0.1,32,relu,0.0001
151,1.165928921500991,40,[52],"(16, 16, 16)",0.1,32,relu,0.0001
152,1.0815791045291658,40,[52],"(16, 16)",0.15,32,relu,0.0001
153,1.1865064267977228,40,[52],"(16, 16, 16)",0.15,32,relu,0.0001
154,1.0764905865744983,40,[52],"(16, 16)",0.2,32,relu,0.0001
155,1.2066813283192173,40,[52],"(16, 16, 16)",0.2,32,relu,0.0001
156,0.9900790692740514,41,[52],"(16, 16)",0.1,32,relu,0.0001
157,1.491427835060339,41,[52],"(16, 16, 16)",0.1,32,relu,0.0001
158,0.9893347030214915,41,[52],"(16, 16)",0.15,32,relu,0.0001
159,1.4896900782616374,41,[52],"(16, 16, 16)",0.15,32,relu,0.0001
160,0.9927242254941852,41,[52],"(16, 16)",0.2,32,relu,0.0001
161,1.474764430217241,41,[52],"(16, 16, 16)",0.2,32,relu,0.0001
